epistolography |The art or practice of writing epistles.
epistoma |(a) The region between the antennæ and the mouth, in Crustacea. (b) A liplike organ that covers the mouth, in most Bryozoa. See Illust., under Entoprocta.
epistome |(a) The region between the antennæ and the mouth, in Crustacea. (b) A liplike organ that covers the mouth, in most Bryozoa. See Illust., under Entoprocta.
epistrophe |A figure in which successive clauses end with the same word or affirmation; e. g., \"Are they Hebrews so am I. Are they Israelites so am I.\" 2 Cor. xi. 22.
epistyle |A massive piece of stone or wood laid immediately on the abacus of the capital of a column or pillar; -- now called architrave.
episyllogism |A syllogism which assumes as one of its premises a proposition which was the conclusion of a preceding syllogism, called, in relation to this, the prosyllogism.
epitaph |1. An inscription on, or at, a tomb, or a grave, in memory or commendation of the one buried there; a sepulchral inscription. Hang her an epitaph upon her tomb. Shak. 2. A brief writing formed as if to be inscribed on a monument, as that concerning Alexander: \"Sufficit huic tumulus, cui non sufficeret orbis.\"\n\nTo commemorate by an epitaph. [R.] Let me be epitaphed the inventor of English hexameters. G. Harvey.\n\nTo write or speak after the manner of an epitaph. [R.] The common in their speeches epitaph upon him . . . \"He lived as a wolf and died as a dog.\" Bp. Hall.
epitapher |A writer of epitaphs. Nash.
epitaphial |Relating to, or of the nature of, an epitaph. The noble Pericles in his epitaphian speech. Milton. Epitaphial Latin verses are not to be taken too literally. Lowell.
epitaphian |Relating to, or of the nature of, an epitaph. The noble Pericles in his epitaphian speech. Milton. Epitaphial Latin verses are not to be taken too literally. Lowell.
epitaphic |Pertaining to an epitaph; epitaphian. -- n.  An epitaph. Udall.
epitaphist |An epitapher.
epitasis |1. That part which embraces the main action of a play, poem, and the like, and leads on to the catastrophe; -- opposed to protasis. 2. (Med.)  The period of violence in a fever or disease; paroxysm. Dunglison.
epithalamic |Belonging to, or designed for, an epithalamium.
epithalamium |A nuptial song, or poem in honor of the bride and bridegroom. The kind of poem which was called epithalamium . . . sung when the bride was led into her chamber. B. Jonson.
epithalamy |Epithalamium. [R.] Donne.
