essonite |Cinnamon stone, a variety of garnet. See Garnet.
essorant |Standing, but with the wings spread, as if about to fly; -- said of a bird borne as a charge on an escutcheon.
est |East. [Obs.] Chaucer.
establish |1. To make stable or firm; to fix immovably or firmly; to set (a thing) in a place and make it stable there; to settle; to confirm. So were the churches established in the faith. Acts xvi. 5. The best established tempers can scarcely forbear being borne down. Burke. Confidence which must precede union could be established only by consummate prudence and self-control. Bancroft. 2. To appoint or constitute for permanence, as officers, laws, regulations, etc.; to enact; to ordain. By the consent of all, we were established The people's magistrates. Shak. Now, O king, establish the decree, and sign the writing, that it be not changed. Dan. vi. 8. 3. To originate and secure the permanent existence of; to found; to institute; to create and regulate; -- said of a colony, a state, or other institutions. He hath established it [the earth], he created it not in vain, he formed it to be inhabited. Is. xlv. 18. Woe to him that buildeth a town with blood, and establisheth a city by iniquity! Hab. ii. 12. 4. To secure public recognition in favor of; to prove and cause to be accepted as true; as, to establish a fact, usage, principle, opinion, doctrine, etc. At the mouth of two witnesses, or at the mouth of three witnesses, shall the matter be established. Deut. xix. 15. 5. To set up in business; to place advantageously in a fixed condition; -- used reflexively; as, he established himself in a place; the enemy established themselves in the citadel.
established suit |A plain suit in which a player (or side) could, except for trumping, take tricks with all his remaining cards.
establisher |One who establishes.
establishment |1. The act of establishing; a ratifying or ordaining; settlement; confirmation. 2. The state of being established, founded, and the like; fixed state. 3. That which is established; as: (a) A form of government, civil or ecclesiastical; especially, a system of religion maintained by the civil power; as, the Episcopal establishment of England. (b) A permanent civil, military, or commercial, force or organization. (c) The place in which one is permanently fixed for residence or business; residence, including grounds, furniture, equipage, etc.; with which one is fitted out; also, any office or place of business, with its fixtures; that which serves for the carrying on of a business; as, to keep up a large establishment; a manufacturing establishment. Exposing the shabby parts of the establishment. W. Irving. Establishment of the port (Hydrography), a datum on which the tides are computed at the given port, obtained by observation, viz., the interval between the moon's passage over the meridian and the time of high water at the port, on the days of new and full moon.
establishmentarian |One who regards the Church primarily as an establishment formed by the State, and overlooks its intrinsic spiritual character. Shipley.
estacade |A dike of piles in the sea, a river, etc., to check the approach of an enemy.
estafet |A courier who conveys messages to another courier; a military courier sent from one part of an army to another.
estafette |A courier who conveys messages to another courier; a military courier sent from one part of an army to another.
estaminet |A café, or room in a café, in which smoking is allowed.
estancia |A grazing; a country house. [Spanish America]
estate |1. Settled condition or form of existence; state; condition or circumstances of life or of any person; situation. \"When I came to man's estate.\" Shak. Mind not high things, but condescend to men of low estate. Romans xii. 16. 2. Social standing or rank; quality; dignity. God hath imprinted his authority in several parts, upon several estates of men. Jer. Taylor. 3. A person of high rank. [Obs.] She's a duchess, a great estate. Latimer. Herod on his birthday made a supper to his lords, high captains, and chief estates of Galilee. Mark vi. 21. 4. A property which a person possesses; a fortune; possessions, esp. property in land; also, property of all kinds which a person leaves to be divided at his death. See what a vast estate he left his son. Dryden. 5. The state; the general body politic; the common-wealth; the general interest; state affairs. [Obs.] I call matters of estate not only the parts of sovereignty, but whatsoever . . . concerneth manifestly any great portion of people. Bacon. 6. pl.  The great classes or orders of a community or state (as the clergy, the nobility, and the commonalty of England) or their representatives who administer the government; as, the estates of the realm (England), which are (1) the lords spiritual, (2) the lords temporal, (3) the commons. 7. (Law)  The degree, quality, nature, and extent of one's interest in, or ownership of, lands, tenements, etc.; as, an estate for life, for years, at will, etc. Abbott. The fourth estate, a name often given to the public press.\n\n1. To establish. [Obs.] Beau. & Fl. 2. Tom settle as a fortune. [Archaic] Shak. 3. To endow with an estate. [Archaic] Then would I . . . Estate them with large land and territory. Tennyson.
estatlich |Stately; dignified. [Obs.] Chaucer.
estatly |Stately; dignified. [Obs.] Chaucer.
esteem |1. To set a value on; to appreciate the worth of; to estimate; to value; to reckon. Then he forsook God, which made him, and lightly esteemed the Rock of his salvation. Deut. xxxii. 15. Thou shouldst (gentle reader) esteem his censure and authority to be of the more weighty credence. Bp. Gardiner. Famous men, -- whose scientific attainments were esteemed hardly less than supernatural. Hawthorne. 2. To set a high value on; to prize; to regard with reverence, respect, or friendship. Will he esteem thy riches Job xxxvi. 19. You talk kindlier: we esteem you for it. Tennyson. Syn. -- To estimate; appreciate; regard; prize; value; respect; revere. See Appreciate, Estimate.\n\nTo form an estimate; to have regard to the value; to consider. [Obs.] We ourselves esteem not of that obedience, or love, or gift, which is of force. Milton.\n\n1. Estimation; opinion of merit or value; hence, valuation; reckoning; price. Most dear in the esteem And poor in worth! Shak. I will deliver you, in ready coin, The full and dear'st esteem of what you crave. J. Webster. 2. High estimation or value; great regard; favorable opinion, founded on supposed worth. Nor should thy prowess want praise and esteem. Shak. Syn. -- See Estimate, n.
esteemable |Worthy of esteem; estimable. [R.] \"Esteemable qualities.\" Pope.
esteemer |One who esteems; one who sets a high value on any thing. The proudest esteemer of his own parts. Locke.
ester |An ethereal salt, or compound ether, consisting of an organic radical united with the residue of any oxygen acid, organic or inorganic; thus the natural fats are esters of glycerin and the fatty acids, oleic, etc.
esthesiometer |An instrument to measure the degree of sensation, by determining at how short a distance two impressions upon the skin can be distinguished, and thus to determine whether the condition of tactile sensibility is normal or altered.\n\nSame as Æsthesiometer.
esthete |Same as Æsthete, Æsthetic, Æsthetical, Æsthetics, etc.
esthetic |Same as Æsthete, Æsthetic, Æsthetical, Æsthetics, etc.
esthetical |Same as Æsthete, Æsthetic, Æsthetical, Æsthetics, etc.
