evolutionism |The theory of, or belief in, evolution. See Evolution, 6 and 7.
evolutionist |1. One skilled in evolutions. 2. one who holds the doctrine of evolution, either in biology or in metaphysics. Darwin.
evolve |1. To unfold or unroll; to open and expand; to disentangle and exhibit clearly and satisfactorily; to develop; to derive; to educe. The animal soul sooner evolves itself to its full orb and extent than the human soul. Sir. M. Hale. The principles which art involves, science alone evolves. Whewell. Not by any power evolved from man's own resources, but by a power which descended from above. J. C. Shairp. 2. To throw out; to emit; as, to evolve odors.\n\nTo become open, disclosed, or developed; to pass through a process of evolution. Prior.
evolvement |The act of evolving, or the state of being evolved; evolution.
evolvent |The involute of a curve. See Involute, and Evolute.
evomit |To vomit. [Obs.]
evomition |The act of vomiting. [Obs.] Swift.
evulgate |To publish abroad. [Obs.]
evulgation |A divulging. [Obs.]
evulsion |The act of plucking out; a rooting out.
ew |A yew. [Obs.] Chaucer.
ewe |The female of the sheep, and of sheeplike animals.
ewe-necked |Having a neck like a ewe; -- said of horses in which the arch of the neck is deficent, being somewhat hollowed out. Youwatt.
ewer |A kind of widemouthed pitcher or jug; esp., one used to hold water for the toilet. Basins and ewers to lave her dainty hands. Shak.
ewery |An office or place of household service where the ewers were formerly kept. [Enq.] Parker.
ewry |An office or place of household service where the ewers were formerly kept. [Enq.] Parker.
ewt |The newt.
ex libris |An inscription, label, or the like, in a book indicating its ownership; esp., a bookplate.
ex officio |From office; by virtue, or as a consequence, of an office; officially.
ex parte |Upon or from one side only; one-sided; partial; as, an ex parte statement. Ex parte application, one made without notice or opportunity to oppose. -- Ex parte council, one that assembles at the request of only one of the parties in dispute. -- Ex parte hearing or evidence (Law), that which is had or taken by one side or party in the absence of the other. Hearings before grand juries, and affidavits, are ex parte. Wharton's Law Dict. Burrill.
