faultiness |Quality or state of being faulty. Round, even to faultiness. Shak.
faulting |The state or condition of being faulted; the process by which a fault is produced.
faultless |Without fault; not defective or imperfect; free from blemish; free from incorrectness, vice, or offense; perfect; as, a faultless poem. Whoever thinks a faultless piece to see, Thinks what ne'er was, nor is, nor e'er shall be. Pope. Syn. -- Blameless; spotless; perfect. See Blameless. -- Fault\"less*ly, adv.-Fault\"less*ness, n.
faulty |1. Containing faults, blemishes, or defects; imperfect; not fit for the use intended. Created once So goodly and erect, though faulty since. Milton. 2. Guilty of a fault, or of faults; hence, blamable; worthy of censure. Shak. The king doth speak . . . as one which is faulty. 2 Sam. xiv. 13.
faun |A god of fields and shipherds, diddering little from the satyr. The fauns are usually represented as half goat and half man. Satyr or Faun, or Sylvan. Milton.
fauna |The animals of any given area or epoch; as, the fauna of America; fossil fauna; recent fauna.
faunal |Relating to fauna.
faunist |One who describes the fauna of country; a naturalist. Gilbert White.
faunus |See Faun.
fausen |A young eel. [Prov. Eng.]
fausse-braye |A second raampart, exterior to, and parallel to, the main rampart, and considerably below its level.
fauteuil |1. An armchair; hence (because the members sit in fauteuils or armchairs), membership in the French Academy. 2. Chair of a presiding officer.
fautor |A favorer; a patron; one who gives countenance or support; an abettor. [Obs.] The king and the fautors of his proceedings. Latimer.
fautress |A patroness. [Obs.] Chapman.
fauvette |A small singing bird, as the nightingale and warblers.
faux |See Fauces.
faux pas |A false step; a mistake or wrong measure.
favaginous |Formed like, or resembling, a honeycomb.
favas |See Favus, n., 2. Fairholt.
favel |Yellow; fal [Obs.] Wright.\n\nA horse of a favel or dun color. To curry favel. See To curry favor, under Favor, n.\n\nFlattery; cajolery; deceit. [Obs.] Skeat.
favella |A group of spores arranged without order and covered with a thin gelatinous envelope, as in certain delicate red algæ.
faveolate |Honeycomb; having cavities or cells, somewhat resembling those of a honeycomb; alveolate; favose.
favier explosive |Any of several explosive mixtures, chiefly of ammonium nitrate and a nitrate derivative of naphthalene. They are stable, but require protection from moisture. As prepared it is a compressed cylinder of the explosive, filled with loose powder of the same composition, all inclosed in waterproof wrappers. It is used for mining.
favillous |Of or pertaining to ashes. [Obs.] Light and favollous particles. Sir T. Browne.
favonian |Pertaining to the west wind; soft; mild; gentle.
favor |1. Kind regard; propitious aspect; countenance; friendly disposition; kindness; good will. Hath crawled into the favor of the king. Shak. 2. The act of countenancing, or the condition of being countenanced, or regarded propitiously; support; promotion; befriending. But found no favor in his lady's eyes. Dryden. And Jesus increased in wisdom and stature, and in favor with God and man. Luke ii. 52. 3. A kind act or office; kindness done or granted; benevolence shown by word or deed; an act of grace or good will, as distinct from justice or remuneration. Beg one favor at thy gracious hand. Shak. 4. Mildness or mitigation of punishment; lenity. I could not discover the lenity and fabor of this sentence. Swift. 5. The object of regard; person or thing favored. All these his wondrous works, but chiefly man, His chief delight and favor. Milton. 6. A gift or represent; something bestowed as an evidence of good will; a token of love; a knot of ribbons; something worn as a token of affection; as, a marriage favor is a bunch or knot of white ribbons or white flowers worn at a wedding. Wear thou this favor for me, and stick it in thy cap. Shak. 7. Appearance; look; countenance; face. [Obs.] This boy is fair, of female favor. Shak. 8. (Law)  Partiality; bias. Bouvier. 9. A letter or epistle; -- so called in civility or compliment; as, your favor of yesterday is received. 10. pl.  Love locks. [Obs.] Wright. Challenge to the favor or for favor (Law), the challenge of a juror on grounds not sufficient to constitute a principal challenge, but sufficient to give rise to a probable suspicion of favor or bias, such as acquaintance, business relation, etc. See Principal challenge, under Challenge. -- In favor of, upon the side of; favorable to; for the advantage of. -- In favor with, favored, countenanced, or encouraged by. -- To curry favor Etym: [see the etymology of Favor, above], to seek to gain favor by flattery, caresses, kindness, or officious civilities. -- With one's favor, or By one's favor, with leave; by kind permission. But, with your favor, I will treat it here. Dryden. Syn. -- Kindness; countenance; patronage; support; lenity; grace; gift; present; benefit.\n\n1. To regard with kindness; to support; to aid, or to have the disposition to aid, or to wish success to; to be propitious to; to countenance; to treat with consideration or tenderness; to show partiality or unfair bias towards. O happy youth! and favored of the skies. Pope. He that favoreth Joab, . . . let him go after Joab. 2 Sam. xx. 11. [The painter] has favored her squint admirably. Swift. 2. To afford advantages for success to; to facilitate; as, a weak place favored the entrance of the enemy. 3. To resemble in features; to have the aspect or looks of; as, the child favors his father. The porter owned that the gentleman favored his master. Spectator.
favorable |1. Full of favor; favoring; manifesting partiality; kind; propitious; friendly. Lend favorable ears to our request. Shak. Lord, thou hast been favorable unto thy land. Ps. lxxxv. 1. 2. Conducive; contributing; tending to promote or facilitate; advantageous; convenient. A place very favorable for the making levies of men. Clarendon. The temper of the climate, favorable to generation, health, and long life. Sir W. Temple. 3. Beautiful; well-favored. [Obs.] Spenser. -- Fa\"vora*ble*ness, n. -- Fa\"vor*a*bly, sdv. The faborableness of the present times to all extertions in the cause of liberty. Burke.
favored |1. Countenanced; aided; regarded with kidness; as, a favored friend. 2. Having a certain favor or appearance; featured; as, well-favored; hard-favored, etc.
favoredly |In a favored or a favorable manner; favorably. [Obs.] Deut. xvii. 1. Arscham.
favoredness |Appearance. [Obs.]
favorer |One who favors; one who regards with kindness or friendship; a well-wisher; one who assists or promotes success or prosperity. [Written also favourer.] And come to us as favorers, not as foes. Shak.
favoress |A woman who favors or gives countenance. [Written also fovouress.]
favoring |That favors. -- Fa\"vor*ing*ly, adv.
favorite |1. A person or thing regarded with peculiar favor; one treated with partiality; one preferred above others; especially, one unduly loved, trusted, and enriched with favors by a person of high rank or authority. Committing to a wicked favorite All public cares. Milton. 2. pl.  Short curls dangling over the temples; -- fashionable in the reign of Charles II. [Obs.] Farquhar. 3. (Sporting)  The competitor (as a horse in a race) that is judged most likely to win; the competitor standing highest in the betting.\n\nRegarded with particular affection, esteem, or preference; as, a favorite walk; a favorite child. \"His favorite argument.\" Macaulay.
favoritism |The disposition to favor and promote the interest of one person or family, or of one class of men, to the neglect of others having equal claims; partiality. A spirit of favoritism to the Bank of the United States. A. Hamilton.
favorless |1. Unfavored; not regarded with favor; having no countenance or support. 2. Unpropitious; unfavorable. [Obs.] \"Fortune favorless.\" Spenser.
favose |1. (Bot.)  Honeycombed. See Faveolate. 2. (Med.)  Of or pertaining to the disease called favus.
favosite |Like or pertaining to the genus Favosites.
favosites |A genus of fossil corals abundant in the Silurian and Devonian rocks, having polygonal cells with perforated walls.
favus |1. (Med.)  A disease of the scalp, produced by a vegetable parasite. 2. A tile or flagstone cut into an hexagonal shape to produce a honeycomb pattern, as in a pavement; -- called also favas and sectila. Mollett.
fawe |Fain; glad; delighted. [Obs.] Chaucer.
fawkner |A falconer. [Obs.] Donne.
