flabellinerved |Having many nerves diverging radiately from the base; -- said of a leaf.
flabellum |A fan; especially, the fan carried before the pope on state occasions, made in ostrich and peacock feathers. Shipley.
flabile |Liable to be blown about. Bailey.
flaccid |Yielding to pressure for want of firmness and stiffness; soft and weak; limber; lax; drooping; flabby; as, a flaccid muscle; flaccid flesh. Religious profession . . . has become flacced. I. Taylor. -- Flac\"cid*ly, adv. -- Flac\"cid*ness, n.
flaccidity |The state of being flaccid.
flacherie |A bacterial disease of silkworms, supposed to be due to eating contaminated mulberry leaves.
flacker |To flutter, as a bird. [Prov. Eng.] Grose.
flacket |A barrel-shaped bottle; a flagon.
flacon |A small glass bottle; as, a flacon for perfume. \"Two glass flacons for the ink.\" Longfellow.
flag |1. To hang loose without stiffness; to bend down, as flexible bodies; to be loose, yielding, limp. As loose it [the sail] flagged around the mast. T. Moore. 2. To droop; to grow spiritless; to lose vigor; to languish; as, the spirits flag; the streugth flags. The pleasures of the town begin to flag. Swift. Syn. -- To droop; decline; fail; languish; pine.\n\n1. To let droop; to suffer to fall, or let fall, into feebleness; as, to flag the wings. prior. 2. To enervate; to exhaust the vigor or elasticity of. Nothing so flags the spirits. Echard.\n\n1. That which flags or hangs down loosely. 2. A cloth usually bearing a device or devices and used to indicate nationality, party, etc., or to give or ask information; -- commonly attached to a staff to be waved by the wind; a standard; a banner; an ensign; the colors; as, the national flag; a military or a naval flag. 3. (Zoöl.) (a) A group of feathers on the lower part of the legs of certain hawks, owls, etc. (b) A group of elongated wing feathers in certain hawks. (c) The bushy tail of a dog, as of a setter. Black flag. See under Black. -- Flag captain, Flag leutenant, etc., special officers attached to the flagship, as aids to the flag officer. -- Flag officer, the commander of a fleet or squadron; an admiral, or commodore. -- Flag of truse, a white flag carried or displayed to an enemy, as an invitation to conference, or for the purpose of making some communication not hostile. -- Flag share, the flag officer's share of prize money. -- Flag station (Railroad), a station at which trains do not stop unless signaled to do so, by a flag hung out or waved. -- National flag, a flag of a particular country, on which some national emblem or device, is emblazoned. -- Red flag, a flag of a red color, displayed as a signal of danger or token of defiance; the emblem of anarchists. -- To dip, the flag, to mlower it and quickly restore it to its place; -- done as a mark of respect. -- To hang out the white flag, to ask truce or quarter, or, in some cases, to manifest a friendly design by exhibiting a white flag. -- To hang the flag half-mast high or half-staff, to raise it only half way to the mast or staff, as a token or sign of mourning. -- To strike, or lower, the flag, to haul it down, in token of respect, submission, or, in an engagement, of surrender. -- Yellow flag, the quarantine flag of all nations; also carried at a vessel's fore, to denote that an infectious disease is on board.\n\n1. To signal to with a flag; as, to flag a train. 2. To convey, as a message, by means of flag signals; as, to flag an order to troops or vessels at a distance.\n\nAn aquatic plant, with long, ensiform leaves, belonging to either of the genera Iris and Acorus. Cooper's flag, the cat-tail (Typha latifolia), the long leaves of which are placed between the staves of barrels to make the latter water-tight. -- Corn flag. See under 2d Corn. -- Flag broom, a coarse of broom, originally made of flags or rushes. -- Flag root, the root of the sweet flag. -- Sweet flag. See Calamus, n., 2.\n\nTo furnish or deck out with flags.\n\n1. A flat stone used for paving. Woodward. 2. (Geol.)  Any hard, evenly stratified sandstone, which splits into layers suitable for flagstones.\n\nTo lay with flags of flat stones. The sides and floor are all flagged with . . . marble. Sandys.
flagellant |One of a fanatical sect which flourished in Europe in the 13th and 14th centuries, and maintained that flagellation was of equal virtue with baptism and the sacrament; -- called also disciplinant.
flagellata |An order of Infusoria, having one or two long, whiplike cilia, at the anterior end. It includes monads. See Infusoria, and Monad.
flagellate |To whip; to scourge; to flog.\n\n1. Flagelliform. 2. (Zoöl.)  Of or pertaining to the Flagellata.
flagellation |A beating or flogging; a whipping; a scourging. Garth.
flagellator |One who practices flagellation; one who whips or scourges.
flagelliform |Shaped like a whiplash; long, slender, round, flexible, and (comming) tapering.
flagellum |1. (Bot.)  A young, flexible shoot of a plant; esp., the long trailing branch of a vine, or a slender branch in certain mosses. 2. (Zoöl.) (a) A long, whiplike cilium. See Flagellata. (b) An appendage of the reproductive apparatus of the snail. (c) A lashlike appendage of a crustacean, esp. the terminal ortion of the antennæ and the epipodite of the maxilipeds. See Maxilliped.
flageolet |A small wooden pipe, having six or more holes, and a mouthpiece inserted at one end. It produces a shrill sound, softer than of the piccolo flute, and is said to have superseded the old recorder. Flageolet tones (Mus.), the naturel harmonics or overtones of stringed instruments.
flagginess |The condition of being flaggy; laxity; limberness. Johnson.
flagging |A pavement or sidewalk of flagstones; flagstones, collectively.\n\nGrowing languid, weak, or spiritless; weakening; delaying. -- Flag\"ging*ly, adv.
flaggy |1. Weak; flexible; limber. \"Flaggy wings.\" Spenser. 2. Tasteless; insipid; as, a flaggy apple. [Obs.] Bacon.\n\nAbounding with the plant called flag; as, a flaggy marsh.
flagitate |To importune; to demand fiercely or with passion. [Archaic] Carcyle.
flagitation |Importunity; urgent demand. [Archaic] Carlyle.
flagitious |1. Disgracefully or shamefully criminal; grossly wicked; scandalous; shameful; -- said of acts, crimes, etc. Debauched principles and flagitious practices. I. Taylor. 2. Guilty of enormous crimes; corrupt; profligate; -- said of persons. Pope. 3. Characterized by scandalous crimes or vices; as, flagitious times. Pope. Syn. -- Atrocious; villainous; flagrant; heinous; corrupt; profligate; abandoned. See Atracious. -- Fla*gi\"tious*ly, adv. -- Fla*gi\"tious*ness, n. A sentence so flagitiously unjust. Macaulay.
flagman |One who makes signals with a flag.
flagon |A vessel with a narrow mouth, used for holding and conveying liquors. It is generally larger than a bottle, and of leather or stoneware rather than of glass. A trencher of mutton chops, and a flagon of ale. Macaulay.
flagrance |Flagrancy. Bp. Hall.
flagrancy |1. A burning; great heat; inflammation. [Obs.] Lust causeth a flagrancy in the eyes. Bacon. 2. The condition or quality of being flagrant; atrocity; heiniousness; enormity; excess. Steele.
flagrant |1. Flaming; inflamed; glowing; burning; ardent. The beadle's lash still flagrant on their back. Prior. A young man yet flagrant from the lash of the executioner or the beadle. De Quincey. Flagrant desires and affections. Hooker. 2. Actually in preparation, execution, or performance; carried on hotly; raging. A war the most powerful of the native tribes was flagrant. Palfrey. 3. Flaming into notice; notorious; enormous; heinous; glaringly wicked. Syn. -- Atrocious; flagitious; glaring. See Atrocious.
flagrantly |In a flagrant manner.
flagrate |To burn. [Obs.] Greenhill.
flagration |A conflagration. [Obs.]
flagship |The vessel which carries the commanding officer of a fleet or squadron and flies his distinctive flag or pennant.
flagstaff |A staff on which a flag is hoisted.
flagstone |A flat stone used in paving, or any rock which will split into such stones. See Flag, a stone.
flagworm |A worm or grub found among flags and sedge.
flail |1. An instrument for threshing or beating grain from the ear by hand, consisting of a wooden staff or handle, at the end of which a stouter and shorter pole or club, called a swipe, is so hung as to swing freely. His shadowy flail hath threshed the corn. Milton. 2. An ancient military weapon, like the common flail, often having the striking part armed with rows of spikes, or loaded. Fairholt. No citizen thought himself safe unless he carried under his coat a small flail, loaded with lead, to brain the Popish assassins. Macaulay.
flaily |Acting like a flail. [Obs.] Vicars.
flain |p. p. of Flay. Chaucer.
flair |1. Smell; odor. [Obs.] 2.  Sense of smell; scent; fig., discriminating sense.
flake |1. A paling; a hurdle. [prov. Eng.] 2. A platform of hurdles, or small sticks made fast or interwoven, supported by stanchions, for drying codfish and other things. You shall also, after they be ripe, neither suffer them to have straw nor fern under them, but lay them either upon some smooth table, boards, or flakes of wands, and they will last the longer. English Husbandman. 3. (Naut.)  A small stage hung over a vessel's side, for workmen to stand on in calking, etc.\n\n1. A loose filmy mass or a thin chiplike layer of anything; a film; flock; lamina; layer; scale; as, a flake of snow, tallow, or fish. \"Lottle flakes of scurf.\" Addison. Great flakes of ice encompassing our boat. Evelyn. 2. A little particle of lighted or incandescent matter, darted from a fire; a flash. With flakes of ruddy fire. Somerville. 3. (Bot.)  A sort of carnation with only two colors in the flower, the petals having large stripes. Flake knife (Archæol.), a cutting instrument used by savage tribes, made of a flake or chip of hard stone. Tylor. -- Flake stand, the cooling tub or vessel of a still worm. Knight. -- Flake white. (Paint.) (a) The purest white lead, in the form of flakes or scales. (b) The trisnitrate of bismuth. Ure.\n\nTo form into flakes. Pope.\n\nTo separate in flakes; to peel or scale off.
flakiness |The state of being flaky.
flaky |Consisting of flakes or of small, loose masses; lying, or cleaving off, in flakes or layers; flakelike. What showers of mortal hail, what flaky fires! Watts. A flaky weight of winter's purest snows. Wordsworth.
flam |A freak or whim; also, a falsehood; a lie; an illusory pretext; deception; delusion. [Obs.] A perpetual abuse and flam upon posterity. South.\n\nTo deceive with a falsehood. [Obs.] God is not to be flammed off with lies. South.
flambe |Decorated by glaze splashed or irregularly spread upon the surface, or apparently applied at the top and allowed to run down the sides; -- said of pieces of Chinese porcelain.
flambeau |A flaming torch, esp. one made by combining together a number of thick wicks invested with a quick-burning substance (anciently, perhaps, wax; in modern times, pitch or the like); hence, any torch.
flamboyant |Characterized by waving or flamelike curves, as in the tracery of windows, etc.; -- said of the later (15th century) French Gothic style.
flamboyer |A name given in the East and West Indies to certain trees with brilliant blossoms, probably species of Cæsalpinia.
flame |1. A stream of burning vapor or gas, emitting light and heat; darting or streaming fire; a blaze; a fire. 2. Burning zeal or passion; elevated and noble enthusiasm; glowing imagination; passionate excitement or anger. \"In a flame of zeal severe.\" Milton. Where flames refin'd in breasts seraphic glow. Pope. Smit with the love of sister arts we came, And met congenial, mingling flame with flame. Pope. 3. Ardor of affection; the passion of love. Coleridge. 4. A person beloved; a sweetheart. Thackeray. Syn. -- Blaze; brightness; ardor. See Blaze. Flame bridge, a bridge wall. See Bridge, n., 5. -- Flame color, brilliant orange or yellow. B. Jonson. -- Flame engine, an early name for the gas engine. -- Flame manometer, an instrument, invented by Koenig, to obtain graphic representation of the action of the human vocal organs. See Manometer. -- Flame reaction (Chem.), a method of testing for the presence of certain elements by the characteristic color imparted to a flame; as, sodium colors a flame yellow, potassium violet, lithium crimson, boracic acid green, etc. Cf. Spectrum analysis, under Spectrum. -- Flame tree (Bot.), a tree with showy scarlet flowers, as the Rhododendron arboreum in India, and the Brachychiton acerifolium of Australia.\n\n1. To burn with a flame or blaze; to burn as gas emitted from bodies in combustion; to blaze. The main blaze of it is past, but a small thing would make it flame again. Shak. 2. To burst forth like flame; to break out in violence of passion; to be kindled with zeal or ardor. He flamed with indignation. Macaulay.\n\nTo kindle; to inflame; to excite. And flamed with zeal of vengeance inwardly. Spenser.
flame-colored |Of the color of flame; of a bright orange yellow color. Shak.
flameless |Destitute of flame. Sandys.
flamelet |A small flame. The flamelets gleamed and flickered. Longfellow.
flamen |A priest devoted to the service of a particular god, from whom he received a distinguishing epithet. The most honored were those of Jupiter, Mars, and Quirinus, called respectively Flamen Dialis, Flamen Martialis, and Flamen Quirinalis. Affrights the flamens at their service quaint. Milton.
flamineous |Pertaining to a flamen; flaminical.
flaming |1. Emitting flames; afire; blazing; consuming; illuminating. 2. Of the color of flame; high-colored; brilliant; dazzling. \"In flaming yellow bright.\" Prior. 3. Ardent; passionate; burning with zeal; irrepressibly earnest; as, a flaming proclomation or harangue.
flamingly |In a flaming manner.
flamingo |Any bird of the genus Phoenicopterus. The flamingoes have webbed feet, very long legs, and a beak bent down as if broken. Their color is usually red or pink. The American flamingo is P. ruber; the European is P. antiquorum.
flaminical |Pertaining to a flamen. Milton.
flammability |The quality of being flammable; inflammability. [Obs.] Sir T. Browne.
flammable |Inflammable. [Obs.]
flammation |The act of setting in a flame or blaze. [Obs.] Sir. T. Browne.
flammeous |Pertaining to, consisting of, or resembling, flame. [Obs.] Sir T. Browne.
flammiferous |Producing flame.
flammivomous |Vomiting flames, as a volcano. W. Thompson. (1745).
flammulated |Of a reddish color.
flamy |Flaming; blazing; flamelike; flame-colored; composed of flame. Pope.
flanch |1. A flange. [R.]. (Her.)  A bearing consisting of a segment of a circle encroaching on the field from the side. Note: Flanches are always in pairs. A pair of flanches is considered one of the subordinaries.
flanched |Having flanches; -- said of an escutcheon with those bearings.
flanconade |A thrust in the side.
flanerie |Lit., strolling; sauntering; hence, aimless; idleness; as, intellectual flânerie.
flaneur |One who strolls about aimlessly; a lounger; a loafer.
flang |A miner's two-pointed pick.
flange |1. An external or internal rib, or rim, for strength, as the flange of an iron beam; or for a guide, as the flange of a car wheel (see Car wheel.); or for attachment to another object, as the flange on the end of a pipe, steam cylinder, etc. Knight. 2. A plate or ring to form a rim at the end of a pipe when fastened to the pipe. Blind flange, a plate for covering or closing the end of a pipe. -- Flange joint, a joint, as that of pipes, where the connecting pieces have flanges by which the parts are bolted together. Knight. - Flange rail, a rail with a flange on one side, to keep wheels, etc. from running off. -- Flange turning, the process of forming a flange on a wrought iron plate by bending and hammering it wh\n\nTo make a flange on; to furnish with a flange.\n\nTo be bent into a flange.
flanged |Having a flange or flanges; as, a flanged wheel.
