freebooty |Freebootery. [Obs.]
freeborn |Born free; not born in vasssalage; inheriting freedom.
freedman |A man who has been a slave, and has been set free.
freedom |1. The state of being free; exemption from the power and control of another; liberty; independence. Made captive, yet deserving freedom more. Milton. 2. Privileges; franchises; immunities. Your charter and your caty's freedom. Shak. 3. Exemption from necessity, in choise and action; as, the freedom of the will. 4. Ease; facility; as, he speaks or acts with freedom. 5. Frankness; openness; unreservedness. I emboldened spake and freedom used. Milton. 6. Improper familiarity; violation of the rules of decorum; license. 7. Generosity; liberality. [Obs.] Chaucer. Freedom fine, a sum paid on entry to incorporations of trades. -- Freedom of the city, the possession of the rights and privileges of a freeman of the city; formerly often, and now occasionally, conferred on one not a resident, as a mark of honorary distinction for public services. Syn. -- See Liberty.
freedstool |See Fridstol.
freehold |An estate in real property, of inheritance (in fee simple or fee tail) or for life; or the tenure by which such estate is held. Kent. Burrill. To abate into a freehold. See under Abate.
freeholder |The possessor of a freehold.
freelte |Frailty. [Obs.] Chaucer.
freeman |1. One who enjoys liberty, or who is not subject to the will of another; one not a slave or vassal. 2. A member of a corporation, company, or city, possessing certain privileges; a member of a borough, town, or State, who has the right to vote at elections. See Liveryman. Burrill. Both having been made freemen on the same day. Addison.
freemason |One of an ancient and secret association or fraternity, said to have been at first composed of masons or builders in stone, but now consisting of persons who are united for social enjoyment and mutual assistance.
freemasonic |Pertaining to, or resembling, the institutions or the practices of freemasons; as, a freemasonic signal.
freemasonry |The institutions or the practices of freemasons.
freeness |The state or quality of being free; freedom; liberty; openness; liberality; gratuitousness.
freer |One who frees, or sets free.
freestone |A stone composed of sand or grit; -- so called because it is easily cut or wrought.\n\nHaving the flesh readily separating from the stone, as in certain kinds of peaches.
freethinker |One who speculates or forms opinions independently of the authority of others; esp., in the sphere or religion, one who forms opinions independently of the authority of revelation or of the church; an unbeliever; -- a term assumed by deists and skeptics in the eighteenth century. Atheist is an old-fashioned word: I'm a freethinker, child. Addison. Syn. -- Infidel; skeptic; unbeliever. See Infidel.
freethinking |Undue boldness of speculation; unbelief. Berkeley. -- a.  Exhibiting undue boldness of speculation; skeptical.
freewheel |A clutch fitted in the rear hub of a cycle, which engages the rear sprocket with the rear wheel when the pedals are rotated forwards, but permits the rear wheel to run on free from the rear sprocket when the pedals are stopped or rotated backwards. Freewheelcycles are usually fitted with hub brakes or rim brakes, operated by back pedaling.\n\n1. (a) Of a freewheel cycle, to run on while the pedals are held still. (b) Of a person, to ride a cycle of this manner. To ride a freewheel cycle. 2.  (Mach.) To operate like a freewheel, so that one part moves freely over another which normally moves with it; -- said of a clutch.
freewill |Of or pertaining to free will; voluntary; spontaneous; as, a freewill offering. Frewill Baptists. See under Baptist.
freezable |Capable of being frozen.
freeze |A frieze. [Obs.]\n\n1. To become congealed by cold; to be changed from a liquid to a solid state by the abstraction of heat; to be hardened into ice or a like solid body. Note: Water freezes at 32º above zero by Fahrenheit's thermometer; mercury freezes at 40º below zero. 2. To become chilled with cold, or as with cold; to suffer loss of animation or life by lack of heat; as, the blood freezes in the veins. To freeze up (Fig.), to become formal and cold in demeanor. [Colloq.]\n\n1. To congeal; to harden into ice; to convert from a fluid to a solid form by cold, or abstraction of heat. 2. To cause loss of animation or life in, from lack of heat; to give the sensation of cold to; to chill. A faint, cold fear runs through my veins, That almost freezes up the heat of life. Shak.\n\nThe act of congealing, or the state of being congealed. [Colloq.]
freezer |One who, or that which, cools or freezes, as a refrigerator, or the tub and can used in the process of freezing ice cream.
freezing |Tending to freeze; for freezing; hence, cold or distant in manner. -- Frrez\"ing*ly, adv. Freezing machine. See Ice machine, under Ice. -- Freezing mixture, a mixture (of salt and snow or of chemical salts) for producing intense cold. -- Freezing point, that degree of a thermometer at which a fluid begins to freeze; -- applied particularly to water, whose freezing point is at 32º Fahr., and at 0º Centigrade.
freieslebenite |A sulphide of antimony, lead, and silver, occuring in monoclinic crystals.
