fumishness |Choler; fretfulness; passion.
fumiter |Fumitory. [Obs.]
fumitory |The common uame of several species of the genus Fumaria, annual herbs of the Old World, with finely dissected leaves and small flowers in dense racemes or spikes. F. officinalis is a common species, and was formerly used as an antiscorbutic. Climbing fumitory (Bot.), the Alleghany vine (Adlumia cirrhosa); a biennial climbing plant with elegant feathery leaves and large clusters of pretty white or pinkish flowers looking like grains of rice.
fummel |A hinny.
fumosity |The fumes of drink. [Obs.] Chaucer.
fumous |1. Producing smoke; smoky. 2. Producing fumes; full of fumes. Garlic, onions, mustard, and such-like fumous things. Barough (1625).
fumy |Producing fumes; fumous. \"Drowned in fumy wine.\" H. Brooke.
fun |Sport; merriment; frolicsome amusement. \"Oddity, frolic, and fun.\" Goldsmith. To make fan of, to hold up to, or turn into, ridicule.
funambulate |To walk or to dance on a rope.
funambulation |Ropedancing.
funambulatory |1. Performing like a ropedancer. Chambers. 2. Narrow, like the walk of a ropedancer. This funambulatory track. Sir T. Browne.
funambulist |A ropewalker or ropedancer.
funambulo |A ropewalker or ropedancer. [Obs.] Bacon.
funambulus |A ropewalker or ropedancer. [Obs.] Bacon.
function |1. The act of executing or performing any duty, office, or calling; per formance. \"In the function of his public calling.\" Swift. 2. (Physiol.)  The appropriate action of any special organ or part of an animal or vegetable organism; as, the function of the heart or the limbs; the function of leaves, sap, roots, etc.; life is the sum of the functions of the various organs and parts of the body. 3. The natural or assigned action of any power or faculty, as of the soul, or of the intellect; the exertion of an energy of some determinate kind. As the mind opens, and its functions spread. Pope. 4. The course of action which peculiarly pertains to any public officer in church or state; the activity appropriate to any business or profession. Tradesmen . . . going about their functions. Shak. The malady which made him incapable of performing his regal functions. Macaulay. 5. (Math.)  A quantity so connected with another quantity, that if any alteration be made in the latter there will be a consequent alteration in the former. Each quantity is said to be a function of the other. Thus, the circumference of a circle is a function of the diameter. If x be a symbol to which different numerical values can be assigned, such expressions as x2, 3x, Log. x, and Sin. x, are all functions of x. Algebraic function, a quantity whose connection with the variable is expressed by an equation that involves only the algebraic operations of addition, subtraction, multiplication, division, raising to a given power, and extracting a given root; -- opposed to transcendental function. -- Arbitrary function. See under Arbitrary. -- Calculus of functions. See under Calculus. -- Carnot's function (Thermo-dynamics), a relation between the amount of heat given off by a source of heat, and the work which can be done by it. It is approximately equal to the mechanical equivalent of the thermal unit divided by the number expressing the temperature in degrees of the air thermometer, reckoned from its zero of expansion. -- Circular functions. See Inverse trigonometrical functions (below). -- Continuous function, a quantity that has no interruption in the continuity of its real values, as the variable changes between any specified limits. -- Discontinuous function. See under Discontinuous. -- Elliptic functions, a large and important class of functions, so called because one of the forms expresses the relation of the arc of an ellipse to the straight lines connected therewith. -- Explicit function, a quantity directly expressed in terms of the independently varying quantity; thus, in the equations y = 6x2, y = 10 -x3, the quantity y is an explicit function of x. -- Implicit function, a quantity whose relation to the variable is expressed indirectly by an equation; thus, y in the equation x2 + y2 = 100 is an implicit function of x. -- Inverse trigonometrical functions, or Circular function, the lengths of arcs relative to the sines, tangents, etc. Thus, AB is the arc whose sine is BD, and (if the length of BD is x) is written sin - 1x, and so of the other lines. See Trigonometrical function (below). Other transcendental functions are the exponential functions, the elliptic functions, the gamma functions, the theta functions, etc. -- One-valued function, a quantity that has one, and only one, value for each value of the variable. -- Transcendental functions, a quantity whose connection with the variable cannot be expressed by algebraic operations; thus, y in the equation y = 10x is a transcendental function of x. See Algebraic function (above). -- Trigonometrical function, a quantity whose relation to the variable is the same as that of a certain straight line drawn in a circle whose radius is unity, to the length of a corresponding are of the circle. Let AB be an arc in a circle, whose radius OA is unity let AC be a quadrant, and let OC, DB, and AF be drawnpependicular to OA, and EB and CG parallel to OA, and let OB be produced to G and F. E Then BD is the sine of the arc AB; OD or EB is the cosine, AF is the tangent, CG is the cotangent, OF is the secant OG is the cosecant, AD is the versed sine, and CE is the coversed sine of the are AB. If the length of AB be represented by x (OA being unity) then the lengths of Functions. these lines (OA being unity) are the trigonometrical functions of x, and are written sin x, cos x, tan x (or tang x), cot x, sec x, cosec x, versin x, coversin x. These quantities are also considered as functions of the angle BOA.\n\nTo execute or perform a function; to transact one's regular or appointed business.
functional |1. Pertaining to, or connected with, a function or duty; official. 2. (Physiol.)  Pertaining to the function of an organ or part, or to the functions in general. Functional disease (Med.), a disease of which the symptoms cannot be referred to any appreciable lesion or change of structure; the derangement of an organ arising from a cause, often unknown, external to itself opposed to organic disease, in which the organ itself is affected.
functionalize |To assign to some function or office. [R.]
functionally |In a functional manner; as regards normal or appropriate activity. The organ is said to be functionally disordered. Lawrence.
functionary |One charged with the performance of a function or office; as, a public functionary; secular functionaries.
functionate |To execute or perform a function; to transact one's regular or appointed business.
functionless |Destitute of function, or of an appropriate organ. Darwin.
fund |1. An aggregation or deposit of resources from which supplies are or may be drawn for carrying on any work, or for maintaining existence. 2. A stock or capital; a sum of money appropriated as the foundation of some commercial or other operation undertaken with a view to profit; that reserve by means of which expenses and credit are supported; as, the fund of a bank, commercial house, manufacturing corporation, etc. 3. pl.  The stock of a national debt; public securities; evidences (stocks or bonds) of money lent to government, for which interest is paid at prescribed intervals; -- called also public funds. 4. An invested sum, whose income is devoted to a specific object; as, the fund of an ecclesiastical society; a fund for the maintenance of lectures or poor students; also, money systematically collected to meet the expenses of some permanent object. 5. A store laid up, from which one may draw at pleasure; a supply; a full provision of resources; as, a fund of wisdom or good sense. An inexhaustible fund of stories. Macaulay. Sinking fund, the aggregate of sums of money set apart and invested, usually at fixed intervals, for the extinguishment of the debt of a government, or of a corporation, by the accumulation of interest.\n\n1. To provide and appropriate a fund or permanent revenue for the payment of the interest of; to make permanent provision of resources (as by a pledge of revenue from customs) for discharging the interest of or principal of; as, to fund government notes. 2. To place in a fund, as money. 3. To put into the form of bonds or stocks bearing regular interest; as, to fund the floating debt.
fundable |Capable of being funded, or converted into a fund; convertible into bonds.
fundament |1. Foundation. [Obs.] Chaucer. 2. The part of the body on which one sits; the buttocks; specifically (Anat.), the anus. Hume.
fundamental |Pertaining to the foundation or basis; serving for the foundation. Hence: Essential, as an element, principle, or law; important; original; elementary; as, a fundamental truth; a fundamental axiom. The fundamental reasons of this war. Shak. Some fundamental antithesis in nature. Whewell. Fundamental bass (Mus.), the root note of a chord; a bass formed of the roots or fundamental tones of the chords. -- Fundamental chord (Mus.), a chord, the lowest tone of which is its root. -- Fundamental colors, red, green, and violet-blue. See Primary colors, under Color.\n\nA leading or primary principle, rule, law, or article, which serves as the groundwork of a system; essential part, as, the fundamentals of the Christian faith.
fundamentally |Primarily; originally; essentially; radically; at the foundation; in origin or constituents. \"Fundamentally defective.\" Burke.
funded |1. Existing in the form of bonds bearing regular interest; as, funded debt. 2. Invested in public funds; as, funded money.
fundholder |One who has money invested in the public funds. J. S. Mill.
funding |1. Providing a fund for the payment of the interest or principal of a debt. 2. Investing in the public funds. Funding system, a system or scheme of finance or revenue by which provision is made for paying the interest or principal of a public debt.
fundless |Destitute of funds.
fundus |The bottom or base of any hollow organ; as, the fundus of the bladder; the fundus of the eye.
funebrial |Pertaining to a funeral or funerals; funeral; funereal. [Obs.] [Written also funebral.] Sir T. Browne.
funebrious |Funebrial. [Obs.]
funeral |1. The solemn rites used in the disposition of a dead human body, whether such disposition be by interment, burning, or otherwise; esp., the ceremony or solemnization of interment; obsequies; burial; -- formerly used in the plural. King James his funerals were performed very solemnly in the collegiate church at Westminster. Euller. 2. The procession attending the burial of the dead; the show and accompaniments of an interment. \"The long funerals.\" Pope. 3. A funeral sermon; -- usually in the plural. [Obs.] Mr. Giles Lawrence preached his funerals. South.\n\nPer. taining to a funeral; used at the interment of the dead; as, funeral rites, honors, or ceremonies. Shak. Funeral pile, a structure of combustible material, upon which a dead body is placed to be reduced to ashes, as part of a funeral rite; a pyre. -- Fu\"ner*al*ly, adv. [Obs.] Sir T. Browne.
funerate |To bury with funeral rites. [Obs.] Cockeram.
funeration |The act of burying with funeral rites. [Obs.] Knatchbull.
funereal |Suiting a funeral; pertaining to burial; solemn. Hence: Dark; dismal; mournful. Jer. Taylor. What seem to us but sad funereal tapers May be heaven's distant lamps. Longfellow. -- Fu*ne\"re*al*ly, adv.
funest |Lamentable; doleful. [R.] \"Funest and direful deaths.\" Coleridge. A forerunner of something very funest. Evelyn.
fungal |Of or pertaining to fungi.
fungate |A salt of fungic acid. [Formerly written also fungiate.]
funge |A blockhead; a dolt; a fool. [Obs.] Burton.
fungi |See Fungus.
fungi imperfecti |A heterogenous group of fungi of which the complete life history is not known. Some undoubtedly represent the conidium stages of various Ascomycetes. The group is divided into the orders Sphæropsidales, Melanconiales, and Moniliales.
fungia |A genus of simple, stony corals; -- so called because they are usually flat and circular, with radiating plates, like the gills of a mushroom. Some of them are eighteen inches in diameter.
fungian |Of or pertaining to the Fungidæ, a family of stony corals. -- n.  One of the Fungidæ.
fungibles |1. (Civ. Law)  Things which may be furnished or restored in kind, as distinguished from specific things; -- called also fungible things. Burrill. 2. (Scots Law)  Movable goods which may be valued by weight or measure, in contradistinction from those which must be judged of individually. Jamieson.
fungic |Pertaining to, or obtained from, mushrooms; as, fungic acid.
fungicide |Anything that kills fungi. -- Fun`gi*ci\"dal, n.
fungiform |Shaped like a fungus or mushroom. Fungiform papillæ (Anat.), numerous small, rounded eminences on the upper surface of the tongue.
fungilliform |Shaped like a small fungus.
fungin |A name formerly given to cellulose found in certain fungi and mushrooms.
fungite |A fossil coral resembling Fungia.
fungivorous |Eating fungi; -- said of certain insects and snails.
fungoid |Like a fungus; fungous; spongy.
fungologist |A mycologist.
fungology |Mycology.
fungosity |The quality of that which is fungous; fungous excrescence. Dunglison.
fungous |1. Of the nature of fungi; spongy. 2. Growing suddenly, but not substantial or durable.
fungus |1. (Bot.)  Any one of the Fungi, a large and very complex group of thallophytes of low organization, -- the molds, mildews, rusts, smuts, mushrooms, toadstools, puff balls, and the allies of each. Note: The fungi are all destitute of chorophyll, and, therefore, to be supplied with elaborated nourishment, must live as saprophytes or parasites. They range in size from single microscopic cells to systems of entangled threads many feet in extent, which develop reproductive bodies as large as a man's head. The vegetative system consists of septate or rarely unseptate filaments called hyphæ; the aggregation of hyphæ into structures of more or less definite form is known as the mycelium. See Fungi, in the Supplement. 2. (Med.)  A spongy, morbid growth or granulation in animal bodies, as the proud flesh of wounds. Hoblyn.
funic |Funicular.
funicle |1. A small cord, ligature, or fiber. 2. (Bot.)  The little stalk that attaches a seed to the placenta.
funicular |1. Consisting of a small cord or fiber. 2. Dependent on the tension of a cord. 3. (Anat.)  Pertaining to a funiculus; made up of, or resembling, a funiculus, or funiculi; as, a funicular ligament. Funicular action (Mech.), the force or action exerted by a rope in drawing together the supports to which its ends are Fastened, when acted upon by forces applied in a direction transverse to the rope, as in the archer's bow. -- Funicular curve. Same as Catenary. -- Funicular machine (Mech.), an apparatus for illustrating certain principles in statics, consisting of a cord or chain attached at one end to a fixed point, and having the other passed over a pulley and sustaining a weight, while one or more other weights are suspended from the cord at points between the fixed support and the pulley. -- Funicular polygon (Mech.), the polygonal figure assumed by a cord fastened at its extremities, and sustaining weights at different points.
funiculate |Forming a narrow ridge.
funiculus |1. (Anat.) A cord, baud, or bundle of fibers; esp., one of the small bundles of fibers, of which large nerves are made up; applied also to different bands of white matter in the brain and spinal cord. 2. (Zoöl.) (a) A short cord which connects the embryo of some myriapods with the amnion. (b) In Bryozoa, an organ extending back from the stomach. See Bryozoa, and Phylactolema.
funiliform |Resembling a cord in toughness and flexibility, as the roots of some endogenous trees.
funis |A cord; specifically, the umbilical cord or navel string.
funk |An offensive smell; a stench. [Low]\n\nTo envelop with an offensive smell or smoke. [Obs.] King.\n\n1. To emit an offensive smell; to stink. 2. To be frightened, and shrink back; to flinch; as, to funk at the edge of a precipice. [Colloq.] C. Kingsley. To funk out, to back out in a cowardly fashion. [Colloq.] To funk right out o' political strife. Lowell (Biglow Papers).\n\nA shrinking back through fear. [Colloq.] \"The horrid panic, or funk (as the men of Eton call it).\" De Quincey.
funking |A shrinking back through fear. [Colloq.] \"The horrid panic, or funk (as the men of Eton call it).\" De Quincey.
funky |Pertaining to, or characterized by, great fear, or funking. [Colloq. Eng.]
funnel |1. A vessel of the shape of an inverted hollow cone, terminating below in a pipe, and used for conveying liquids into a close vessel; a tunnel. 2. A passage or avenue for a fluid or flowing substance; specifically, a smoke flue or pipe; the iron chimney of a steamship or the like. Funnel box (Mining), an apparatus for collecting finely crushed ore from water. Knight. -- Funnel stay (Naut.), one of the ropes or rods steadying a steamer's funnel.
funnelform |Having the form of a funnel, or tunnel; that is, expanding gradually from the bottom upward, as the corolla of some flowers; infundibuliform.
