gangliac |Relating to a ganglion; ganglionic.
ganglial |Relating to a ganglion; ganglionic.
gangliate |Furnished with ganglia; as, the gangliated cords of the sympathetic nervous system.
gangliated |Furnished with ganglia; as, the gangliated cords of the sympathetic nervous system.
gangliform |Having the form of a ganglion.
ganglioform |Having the form of a ganglion.
ganglion |1. (Anat.) (a) A mass or knot of nervous matter, including nerve cells, usually forming an enlargement in the course of a nerve. (b) A node, or gland in the lymphatic system; as, a lymphatic ganglion. 2. (Med.)  A globular, hard, indolent tumor, situated somewhere on a tendon, and commonly formed by the effusion of a viscid fluid into it; -- called also weeping sinew. Ganglion cell, a nerve cell. See Illust. under Bipolar.
ganglionary |Ganglionic.
ganglionic |Pertaining to, containing, or consisting of, ganglia or ganglion cells; as, a ganglionic artery; the ganglionic columns of the spinal cord.
gangrel |Wandering; vagrant. [Scot.] Sir W. Scott.
gangrenate |To gangrene. [Obs.]
gangrene |A term formerly restricted to mortification of the soft tissues which has not advanced so far as to produce complete loss of vitality; but now applied to mortification of the soft parts in any stage.\n\nTo produce gangrene in; to be affected with gangrene.
gangrenescent |Tending to mortification or gangrene.
gangrenous |Affected by, or produced by, gangrene; of the nature of gangrene.
gangue |The mineral or earthy substance associated with metallic ore.
gangway |1. A passage or way into or out of any inclosed place; esp., a temporary way of access formed of planks. 2. In the English House of Commons, a narrow aisle across the house, below which sit those who do not vote steadly either with the government or with the opposition. 3. (Naut.)  The opening through the bulwarks of a vessel by which persons enter or leave it. 4. (Naut.)  That part of the spar deck of a vessel on each side of the booms, from the quarter-deck to the forecastle; -- more properly termed the waist. Totten. Gangway ladder, a ladder rigged on the side of a vessel at the gangway. -- To bring to the gangway, to punish (a seaman) by flogging him at the gangway.
ganil |A kind of brittle limestone. [Prov. Eng.] Kirwan.
ganister |A refractory material consisting of crushed or ground siliceous stone, mixed with fire clay; -- used for lining Bessemer converters; also used for macadamizing roads.
ganja |The dried hemp plant, used in India for smoking. It is extremely narcotic and intoxicating.
gannet |One of several species of sea birds of the genus Sula, allied to the pelicans. Note: The common gannet of Europe and America (S. bassana), is also called solan goose, chandel goose, and gentleman. In Florida the wood ibis is commonly called gannet. Booby gannet. See Sula.
gannister |A refractory material consisting of crushed or ground siliceous stone, mixed with fire clay; -- used for lining Bessemer converters; also used for macadamizing roads.
ganocephala |A group of fossil amphibians allied to the labyrinthodonts, having the head defended by bony, sculptured plates, as in some ganoid fishes.
ganocephalous |Of or pertaining to the Ganocephala.
ganoid |Of or pertaining to Ganoidei. -- n. One of the Ganoidei. Ganoid scale (Zoöl.), one kind of scales of the ganoid fishes, composed of an inner layer of bone, and an outer layer of shining enamel. They are often so arranged as to form a coat of mail.
ganoidal |Ganoid.
ganoidei |One of the subclasses of fishes. They have an arterial cone and bulb, spiral intestinal valve, and the optic nerves united by a chiasma. Many of the species are covered with bony plates, or with ganoid scales; others have cycloid scales. Note: They were numerous, and some of them of large size, in early geological periods; but they are represented by comparatively few living species, most of which inhabit fresh waters, as the bowfin, gar pike, bichir, Ceratodus, paddle fish, and sturgeon.
ganoidian |Ganoid.
ganoine |A peculiar bony tissue beneath the enamel of a ganoid scale.
gansa |Same as Ganza. Bp. Hall.
gantlet |A military punishment formerly in use, wherein the offender was made to run between two files of men facing one another, who struck him as he passed. To run the gantlet, to suffer the punishment of the gantlet; hence, to go through the ordeal of severe criticism or controversy, or ill-treatment at many hands. Winthrop ran the gantlet of daily slights. Palfrey. Note: Written also, but less properly, gauntlet.\n\nA glove. See Gauntlet.
gantline |A line rigged to a mast; -- used in hoisting rigging; a girtline.
gantlope |See Gantlet. [Obs.]
gantry |See Gauntree.
ganz system |A haulage system for canal boats, in which an electric locomotive running on a monorail has its adhesion materially increased by the pull of the tow rope on a series of inclined gripping wheels.
ganza |A kind of wild goose, by a flock of which a virtuoso was fabled to be carried to the lunar world. [Also gansa.] Johnson.
gaol |A place of confinement, especially for minor offenses or provisional imprisonment; a jail. [Preferably, and in the United States usually, written jail.] Commission of general gaol delivery, an authority conferred upon judges and others included in it, for trying and delivering every prisoner in jail when the judges, upon their circuit, arrive at the place for holding court, and for discharging any whom the grand jury fail to indict. [Eng.] -- Gaol delivery. (Law) See Jail delivery, under Jail.
gaoler |The keeper of a jail. See Jailer.
gap |An opening in anything made by breaking or parting; as, a gap in a fence; an opening for a passage or entrance; an opening which implies a breach or defect; a vacant space or time; a hiatus; a mountain pass. Miseries ensued by the opening of that gap. Knolles. It would make a great gap in your own honor. Shak. Gap lathe (Mach.), a turning lathe with a deep notch in the bed to admit of turning a short object of large diameter. -- To stand in the gap, to expose one's self for the protection of something; to make defense against any assailing danger; to take the place of a fallen defender or supporter. -- To stop a gap, to secure a weak point; to repair a defect.\n\n1. To notch, as a sword or knife. 2. To make an opening in; to breach. Their masses are gapp'd with our grape. Tennyson.
gap-toothed |Having interstices between the teeth. Dryden.
gape |1. To open the mouth wide; as: (a) Expressing a desire for food; as, young birds gape. Dryden. (b) Indicating sleepiness or indifference; to yawn. She stretches, gapes, unglues her eyes, And asks if it be time to rise. Swift. (c) Showing self-forgetfulness in surprise, astonishment, expectation, etc. With gaping wonderment had stared aghast. Byron. (d) Manifesting a desire to injure, devour, or overcome. They have gaped upon me with their mouth. Job xvi. 10. 2. To pen or part widely; to exhibit a gap, fissure, or hiatus. May that ground gape and swallow me alive! Shak. 3. To long, wait eagerly, or cry aloud for something; -- with for, after, or at. The hungry grave for her due tribute gapes. Denham. Syn. -- To gaze; stare; yawn. See Gaze.\n\n1. The act of gaping; a yawn. Addison. 2. (Zoöl.)  The width of the mouth when opened, as of birds, fishes, etc.
gaper |1. One who gapes. 2. (Zoöl.) (a) A European fish. See 4th Comber. (b) A large edible clam (Schizothærus Nuttalli), of the Pacific coast; -- called also gaper clam. (c) An East Indian bird of the genus Cymbirhynchus, related to the broadbills.
gapes |(a) A fit of yawning. (b) A disease of young poultry and other birds, attended with much gaping. It is caused by a parasitic nematode worm (Syngamus trachealis), in the windpipe, which obstructs the breathing. See Gapeworm.
gapeseed |Any strange sight. Wright.
gapesing |Act of gazing about; sightseeing. [Prov. Eng.]
gapeworm |The parasitic worm that causes the gapes in birds. See Illustration in Appendix.
gapingstock |One who is an object of open-mouthed wonder. I was to be a gapingstock and a scorn to the young volunteers. Godwin.
gar |(a) Any slender marine fish of the genera Belone and Tylosurus. See Garfish. (b) The gar pike. See Alligator gar (under Alligator), and Gar pike. Gar pike, or Garpike (Zoöl.), a large, elongated ganoid fish of the genus Lepidosteus, of several species, inhabiting the lakes and rivers of temperate and tropical America.\n\nTo cause; to make. [Obs. or Scot.] Spenser.
gar pike |See under Gar.
garage |1. A place for housing automobiles. 2.  (Aëronautics) A shed for housing an airship or flying machine; a hangar. 3.  A side way or space in a canal to enable vessels to pass each other; a siding. Garage is recent in English, and has as yet acquired no settled pronunciation.\n\nTo keep in a garage. [Colloq.]
garancin |An extract of madder by sulphuric acid. It consists essentially of alizarin.
garb |1. (a) Clothing in general. (b) The whole dress or suit of clothes worn by any person, especially when indicating rank or office; as, the garb of a clergyman or a judge. (c) Costume; fashion; as, the garb of a gentleman in the 16th century. 2. External appearance, as expressive of the feelings or character; looks; fashion or manner, as of speech. You thought, because he could not speak English in the native garb, he could not therefore handle an English cudgel. Shak.\n\nA sheaf of grain (wheat, unless otherwise specified).\n\nTo clothe; array; deck. These black dog-Dons Garb themselves bravely. Tennyson.
garbage |Offal, as the bowels of an animal or fish; refuse animal or vegetable matter from a kitchen; hence, anything worthless, disgusting, or loathsome. Grainger.\n\nTo strip of the bowels; to clean. \"Pilchards . . . are garbaged.\" Holland.
garbed |Dressed; habited; clad.
garbel |Same as Garboard.\n\nAnything sifted, or from which the coarse parts have been taken. [Obs.]
garble |1. To sift or bolt, to separate the fine or valuable parts of from the coarse and useless parts, or from dros or dirt; as, to garble spices. [Obs.] 2. To pick out such parts of as may serve a purpose; to mutilate; to pervert; as, to garble a quotation; to garble an account.\n\n1. Refuse; rubbish. [Obs.] Wolcott. 2. pl.  Impurities separated from spices, drugs, etc.; -- also called garblings.
garbler |One who garbles.
garboard |One of the planks next the keel on the outside, which form a garboard strake. Garboard strake or streak, the first range or strake of planks laid on a ship's bottom next the keel. Totten.
garboil |Tumult; disturbance; disorder. [Obs.] Shak.
garcinia |A genus of plants, including the mangosteen tree (Garcinia Mangostana), found in the islands of the Indian Archipelago; -- so called in honor of Dr. Garcin.
garcon |A boy; fellow; esp., a serving boy or man; a waiter; -- in Eng. chiefly applied to French waiters.
gard |Garden. [Obs.] \"Trees of the gard.\" F. Beaumont.\n\nSee Guard.
gardant |Turning the head towards the spectator, but not the body; -- said of a lion or other beast.
garde civique |See Army organization, above.
garden |1. A piece of ground appropriates to the cultivation of herbs, fruits, flowers, or vegetables. 2. A rich, well-cultivated spot or tract of country. I am arrived from fruitful Lombardy, The pleasant garden of great Italy. Shak. Note: Garden is often used adjectively or in self-explaining compounds; as, garden flowers, garden tools, garden walk, garden wall, garden house or gardenhouse. Garden balsam, an ornamental plant (Impatiens Balsamina). -- Garden engine, a wheelbarrow tank and pump for watering gardens. -- Garden glass. (a) A bell glass for covering plants. (b) A globe of dark-colored glass, mounted on a pedestal, to reflect surrounding objects; -- much used as an ornament in gardens in Germany. -- Garden house (a) A summer house. Beau & Fl. (b) A privy. [Southern U.S.] -- Garden husbandry, the raising on a small scale of seeds, fruits, vegetables, etc., for sale. -- Garden mold or mould, rich, mellow earth which is fit for a garden. Mortimer. -- Garden nail, a cast nail used, for fastening vines to brick walls. Knight. -- Garden net, a net for covering fruits trees, vines, etc., to protect them from birds. -- Garden party, a social party held out of doors, within the grounds or garden attached to a private residence. -- Garden plot, a plot appropriated to a garden. Garden pot, a watering pot. -- Garden pump, a garden engine; a barrow pump. -- Garden shears, large shears, for clipping trees and hedges, pruning, etc. -- Garden spider, (Zoöl.), the diadem spider (Epeira diadema), common in gardens, both in Europe and America. It spins a geometrical web. See Geometric spider, and Spider web. -- Garden stand, a stand for flower pots. -- Garden stuff, vegetables raised in a garden. [Colloq.] -- Garden syringe, a syringe for watering plants, sprinkling them with solutions for destroying insects, etc. -- Garden truck, vegetables raised for the market. [Colloq.] -- Garden ware, garden truck. [Obs.] Mortimer. -- Bear garden, Botanic garden, etc. See under Bear, etc. -- Hanging garden. See under Hanging. -- Kitchen garden, a garden where vegetables are cultivated for household use. -- Market garden, a piece of ground where vegetable are cultivated to be sold in the markets for table use.\n\nTo lay out or cultivate a garden; to labor in a garden; to practice horticulture.\n\nTo cultivate as a garden.
gardener |One who makes and tends a garden; a horticulturist.
gardenia |A genus of plants, some species of which produce beautiful and fragrant flowers; Cape jasmine; -- so called in honor of Dr. Alexander Garden.
gardening |The art of occupation of laying out and cultivating gardens; horticulture.
gardenless |Destitute of a garden. Shelley.
gardenly |Like a garden. [R.] W. Marshall.
gardenship |Horticulture. [Obs.]
gardon |A European cyprinoid fish; the id.
gardyloo |An old cry in throwing water, slops, etc., from the windows in Edingburgh. Sir. W. Scott.
gare |Coarse wool on the legs of sheep. Blount.
garefowl |The great auk; also, the razorbill. See Auk. [Written also gairfowl, and gurfel.]
garfish |(a) A European marine fish (Belone vulgaris); -- called also gar, gerrick, greenback, greenbone, gorebill, hornfish, longnose, mackerel guide, sea needle, and sea pike. (b) One of several species of similar fishes of the genus Tylosurus, of which one species (T. marinus) is common on the Atlantic coast. T. Caribbæus, a very large species, and T. crassus, are more southern; - - called also needlefish. Many of the common names of the European garfish are also applied to the American species.
gargalize |To gargle; to rinse. [Obs.] Marston.
garganey |A small European duck (Anas querquedula); -- called also cricket teal, and summer teal.
gargantuan |Characteristic of Gargantua, a gigantic, wonderful personage; enormous; prodigious; inordinate.
gargarism |A gargle.
gargarize |To gargle; to rinse or wash, as the mouth and throat. [Obs.] Bacon.
garget |1. The throat. [Obs.] Chaucer. 2. A diseased condition of the udders of cows, etc., arising from an inflammation of the mammary glands. 3. A distemper in hogs, indicated by staggering and loss of appetite. Youatt. 4. (Bot.)  See Poke.
gargil |A distemper in geese, affecting the head.
gargle |See Gargoyle.\n\n1. To wash or rinse, as the mouth or throat, particular the latter, agitating the liquid (water or a medicinal preparation) by an expulsion of air from the lungs. 2. To warble; to sing as if gargling [Obs.] Waller.\n\nA liquid, as water or some medicated preparation, used to cleanse the mouth and throat, especially for a medical effect.
gargol |A distemper in swine; garget. Mortimer.
gargoulette |A water cooler or jug with a handle and spout; a gurglet. Mollett.
gargoyle |A spout projecting from the roof gutter of a building, often carved grotesquely. [Written also gargle, gargyle, and gurgoyle.]
gargyle |See Gargoyle.
garibaldi |1. A jacket worn by women; -- so called from its resemblance in shape to the red shirt worn by the Italians patriot Garibaldi. 2. (Zoöl.)  A California market fish (Pomancentrus rubicundus) of a deep scarlet color.
garish |1. Showy; dazzling; ostentatious; attracting or exciting attention. \"The garish sun.\" \"A garish flag.\" Shak. \"In . . . garish colors.\" Asham. \"The garish day.\" J. H. Newman. Garish like the laughters of drunkenness. Jer. Taylor. 2. Gay to extravagance; flighty. It makes the mind loose and garish. South. -- Gar\"ish*ly, adv. -- Garish*ness, n. Jer. Taylor.
garland |1. The crown of a king. [Obs.] Graffon. 2. A wreath of chaplet made of branches, flowers, or feathers, and sometimes of precious stones, to be worn on the head like a crown; a coronal; a wreath. Pope. 3. The top; the thing most prized. Shak. 4. A book of extracts in prose or poetry; an anthology. They [ballads] began to be collected into little miscellanies under the name of garlands. Percy. 5. (Naut.) (a) A sort of netted bag used by sailors to keep provision in. (b) A grommet or ring of rope lashed to a spar for convenience in handling.\n\nTo deck with a garland. B. Jonson.
garlandless |Destitute of a garland. Shelley.
garlic |1. (Bot.)  A plant of the genus Allium (A. sativum is the cultivated variety), having a bulbous root, a very strong smell, and an acrid, pungent taste. Each root is composed of several lesser bulbs, called cloves of garlic, inclosed in a common membranous coat, and easily separable. 2. A kind of jig or farce. [Obs.] Taylor (1630). Garlic mustard, a European plant of the Mustard family (Alliaria officinalis) which has a strong smell of garlic. -- Garlic pear tree, a tree in Jamaica (Cratæva gynandra), bearing a fruit which has a strong scent of garlic, and a burning taste.
garlicky |Like or containing garlic.
garment |Any article of clothing, as a coat, a gown, etc. No man putteth a piece of new cloth unto old garment. Matt. ix. 16.
garmented |Having on a garment; attired; enveloped, as with a garment. [Poetic] A lovely lady garmented in light From her own beauty. Shelley.
garmenture |Clothing; dress.
garner |A granary; a building or place where grain is stored for preservation.\n\nTo gather for preservation; to store, as in a granary; to treasure. Shak.
garnet |A mineral having many varieties differing in color and in their constituents, but with the same crystallization (isometric), and conforming to the same general chemical formula. The commonest color is red, the luster is vitreous, and the hardness greater than that of quartz. The dodecahedron and trapezohedron are the common forms. Note: There are also white, green, yellow, brown, and black varieties. The garnet is a silicate, the bases being aluminia lime (grossularite, essonite, or cinnamon stone), or aluminia magnesia (pyrope), or aluminia iron (almandine), or aluminia manganese (spessartite), or iron lime (common garnet, melanite, allochroite), or chromium lime (ouvarovite, color emerald green). The transparent red varieties are used as gems. The garnet was, in part, the carbuncle of the ancients. Garnet is a very common mineral in gneiss and mica slate. Garnet berry (Bot.), the red currant; -- so called from its transparent red color. -- Garnet brown (Chem.), an artificial dyestuff, produced as an explosive brown crystalline substance with a green or golden luster. It consists of the potassium salt of a complex cyanogen derivative of picric acid.\n\nA tackle for hoisting cargo in our out. Clew garnet. See under Clew.
garnetiferous |Containing garnets.
garnierite |An amorphous mineral of apple-green color; a hydrous silicate of nickel and magnesia. It is an important ore of nickel.
garnish |1. To decorate with ornamental appendages; to set off; to adorn; to embellish. All within with flowers was garnished. Spenser. 2. (Cookery)  To ornament, as a dish, with something laid about it; as, a dish garnished with parsley. 3. To furnish; to supply. 4. To fit with fetters. [Cant] Johnson. 5. (Law)  To warn by garnishment; to give notice to; to garnishee. See Garnishee, v. t. Cowell.\n\n1. Something added for embellishment; decoration; ornament; also, dress; garments, especially such as are showy or decorated. So are you, sweet, Even in the lovely garnish of a boy. Shak. Matter and figure they produce; For garnish this, and that for use. Prior. 2. (Cookery)  Something set round or upon a dish as an embellishment. See Garnish, v. t., 2. Smart. 3. Fetters. [Cant] 4. A fee; specifically, in English jails, formerly an unauthorized fee demanded by the old prisoners of a newcomer. [Cant] Fielding. Garnish bolt (Carp.), a bolt with a chamfered or faceted head. Knight.
garnishee |One who is garnished; a person upon whom garnishment has been served in a suit by a creditor against a debtor, such person holding property belonging to the debtor, or owing him money. Note: The order by which warning is made is called a garnishee order.\n\n(a) To make (a person) a garnishee; to warn by garnishment; to garnish. (b) To attach (the fund or property sought to be secured by garnishment); to trustee.
garnisher |One who, or that which, garnishes.
garnishment |1. Ornament; embellishment; decoration. Sir H. Wotton. 2. (Law) (a) Warning, or legal notice, to one to appear and give information to the court on any matter. (b) Warning to a person in whose hands the effects of another are attached, not to pay the money or deliver the goods to the defendant, but to appear in court and give information as garnishee. 3. A fee. See Garnish, n., 4.
garniture |That which garnishes; ornamental appendage; embellishment; furniture; dress. The pomp of groves and garniture of fields. Beattie.
garookuh |A small fishing vessel met with in the Persian Gulf.
garous |Pertaining to, or resembling, garum. Sir T. Browne.
garpike |See under Gar.
garran |See Galloway. [Scot. garron or gerron. Jamieson.]
garret |1. A turret; a watchtower. [Obs.] He saw men go up and down on the garrets of the gates and walls. Ld. Berners. 2. That part of a house which is on the upper floor, immediately under or within the roof; an attic. The tottering garrets which overhung the streets of Rome. Macaulay.
garreted |Protected by turrets. [Obs.] R. Carew.
garreteer |One who lives in a garret; a poor author; a literary hack. Macaulay.
garreting |Small splinters of stone inserted into the joints of coarse masonry. Weale.
garrison |(a) A body of troops stationed in a fort or fortified town. (b) A fortified place, in which troops are quartered for its security. In garrison, in the condition of a garrison; doing duty in a fort or as one of a garrison.\n\n(a) To place troops in, as a fortification, for its defense; to furnish with soldiers; as, to garrison a fort or town. (b) To secure or defend by fortresses manned with troops; as, to garrison a conquered territory.
garron |Same as Garran. [Scot.]
garrot |A stick or small wooden cylinder used for tightening a bandage, in order to compress the arteries of a limb.\n\nThe European golden-eye.
garrote |A Spanish mode of execution by strangulation, with an iron collar affixed to a post and tightened by a screw until life become extinct; also, the instrument by means of which the punishment is inflicted.\n\nTo strangle with the garrote; hence, to seize by the throat, from behind, with a view to strangle and rob.
garroter |One who seizes a person by the throat from behind, with a view to strangle and rob him.
garrulity |Talkativeness; loquacity.
garrulous |1. Talking much, especially about commonplace or trivial things; talkative; loquacious. The most garrulous people on earth. De Quincey. 2. (Zoöl.)  Having a loud, harsh note; noisy; -- said of birds; as, the garrulous roller. Syn. -- Garrulous, Talkative, Loquacious. A garrulous person indulges in long, prosy talk, with frequent repetitions and lengthened details; talkative implies simply a great desire to talk; and loquacious a great flow of words at command. A child is talkative; a lively woman is loquacious; an old man in his dotage is garrulous. -- Gar\"ru*lous*ly, adv. -- Gar\"ru*lous*ness, n.
garrupa |One of several species of California market fishes, of the genus Sebastichthys; -- called also rockfish. See Rockfish.
garter |1. A band used to prevent a stocking from slipping down on the leg. 2. The distinguishing badge of the highest order of knighthood in Great Britain, called the Order of the Garter, instituted by Edward III.; also, the Order itself. 3. (Her.)  Same as Bendlet. Garter fish (Zoöl.), a fish of the genus Lepidopus, having a long, flat body, like the blade of a sword; the scabbard fish. -- Garter king-at-arms, the chief of the official heralds of England, king-at-arms to the Order of the Garter; -- often abbreviated to Garter. -- Garter snake (Zoöl.), one of several harmless American snakes of the genus Eutænia, of several species (esp. E. saurita and E. sirtalis); one of the striped snakes; -- so called from its conspicuous stripes of color.\n\n1. To bind with a garter. He . . . could not see to garter his hose. Shak. 2. To invest with the Order of the Garter. T. Warton.
garter stitch |The simplest stitch in knitting.
garth |1. A close; a yard; a croft; a garden; as, a cloister garth. A clapper clapping in a garth To scare the fowl from fruit. Tennyson. 2. A dam or weir for catching fish.\n\nA hoop or band. [Prov. Eng.]
garum |A sauce made of small fish. It was prized by the ancients.
garvie |The spart; -- called also garvie herring, and garvock. [Prov. Eng. & Scot.]
