glassily |So as to resemble glass.
glassiness |The quality of being glassy.
glassite |A member of a Scottish sect, founded in the 18th century by John Glass, a minister of the Established Church of Scotland, who taught that justifying faith is \"no more than a simple assent to the divine testimone passively recived by the understanding.\" The English and American adherents of this faith are called Sandemanians, after Robert Sandeman, the son-in-law and disciple of Glass.
glassmaker |One who makes, or manufactures, glass. -- Glass\" mak`ing, or Glass\"mak`ing, n.
glassware |Ware, or articles collectively, made of glass.
glasswork |Manufacture of glass; articles or ornamentation made of glass.
glasswort |A seashore plant of the Spinach family (Salicornia herbacea), with succulent jointed stems; also, a prickly plant of the same family (Salsola Kali), both formerly burned for the sake of the ashes, which yield soda for making glass and soap.
glassy |1. Made of glass; vitreous; as, a glassy substance. Bacon. 2. Resembling glass in its properties, as in smoothness, brittleness, or transparency; as, a glassy stream; a glassy surface; the glassy deep. 3. Dull; wanting life or fire; lackluster; -- said of the eyes. \"In his glassy eye.\" Byron. Glassy feldspar (Min.), a variety of orthoclase; sanidine.
glastonbury thorn |A variety of the common hawthorn. Loudon.
glasynge |Glazing or glass. [Obs.]
glauberite |A mineral, consisting of the sulphates of soda and lime. GLAUBER'S SALT; GLAUBER'S SALTS Glau\"ber's salt` or; Glau\"ber's salts` (. Etym: [G. glaubersalz, from Glauber, a German chemist who discovered it. See Glauberite.]  Sulphate of soda, a well-known cathartic. It is a white crystalline substance, with a cooling, slightly bitter taste, and is commonly called \"salts.\" Note: It occurs naturally and abundantly in some mineral springs, and in many salt deposits, as the mineral mirabilite. It is manufactured in large quantities as an intermediate step in the \"soda process,\" and also for use in glass making.
glaucescent |Having a somewhat glaucous appearance or nature; becoming glaucous.
glaucic |Of or pertaining to the Glaucium or horned poppy; -- formerly applied to an acid derived from it, now known to be fumaric acid.
glaucine |Glaucous or glaucescent.\n\nAn alkaloid obtained from the plant Glaucium, as a bitter, white, crystalline substance.
glaucodot |A metallic mineral having a grayish tin-white color, and containing cobalt and iron, with sulphur and arsenic.
glaucoma |Dimness or abolition of sight, with a diminution of transparency, a bluish or greenish tinge of the refracting media of the eye, and a hard inelastic condition of the eyeball, with marked increase of tension within the eyeball.
glaucomatous |Having the nature of glaucoma.
glaucometer |See Gleucometer.
glauconite |The green mineral characteristic of the greensand of the chalk and other formations. It is a hydrous silicate of iron and potash. See Greensand.
glaucophane |A mineral of a dark bluish color, related to amphibole. It is characteristic of certain crystalline rocks.
glaucosis |Same as Glaucoma.
glaucous |1. Of a sea-green color; of a dull green passing into grayish blue. Lindley. 2. (Bot.)  Covered with a fine bloom or fine white powder easily rubbed off, as that on a blue plum, or on a cabbage leaf. Gray.
glaucus |A genus of nudibranchiate mollusks, found in the warmer latitudes, swimming in the open sea. These mollusks are beautifully colored with blue and silvery white.
glaum |To grope with the hands, as in the dark. [Scot.] To glaum at, to grasp or snatch at; to aspire to. Wha glaum'd at kingdoms three. Burns.
glave |See Glaive.
glaver |1. To prate; to jabber; to babble. [Obs.] Here many, clepid filosophirs, glavern diversely. Wyclif. 2. To flatter; to wheedle. [Obs.] Some slavish, glavering, flattering parasite. South.
glaverer |A flatterer. [Obs.] Mir. for Mag.
glaymore |A claymore. Johnson.
glaze |1. To furnish (a window, a house, a sash, a ease, etc.) with glass. Two cabinets daintily paved, richly handed, and glazed with crystalline glass. Bacon. 2. To incrust, cover, or overlay with a thin surface, consisting of, or resembling, glass; as, to glaze earthenware; hence, to render smooth, glasslike, or glossy; as, to glaze paper, gunpowder, and the like. Sorrow's eye glazed with blinding tears. Shak. 3. (Paint.)  To apply thinly a transparent or semitransparent color to (another color), to modify the effect.\n\nTo become glazed of glassy.\n\n1. The vitreous coating of pottery or porcelain; anything used as a coating or color in glazing. See Glaze, v. t., 3. Ure. 2. (Cookery)  Broth reduced by boiling to a gelatinous paste, and spread thinly over braised dishes. 3. A glazing oven. See Glost oven.
glazen |Resembling glass; glasslike; glazed. [Obs.] Wyclif.
glazer |1. One who applies glazing, as in pottery manufacture, etc.; one who gives a glasslike or glossy surface to anything; a calenderer or smoother of cloth, paper, and the like. 2. A tool or machine used in glazing, polishing, smoothing, etc.; amoung cutlers and lapidaries, a wooden wheel covered with emery, or having a band of lead and tin alloy, for polishing cutlery, etc.
glazier |One whose business is to set glass. Glazier's diamond. See under Diamond.
glazing |1. The act or art of setting glass; the art of covering with a vitreous or glasslike substance, or of polishing or rendering glossy. 2. The glass set, or to be set, in a sash, frame. etc. 3. The glass, glasslike, or glossy substance with which any surface is incrusted or overlaid; as, the glazing of pottery or porcelain, or of paper. 4. (Paint.)  Transparent, or semitransparent, colors passed thinly over other colors, to modify the effect.
glazy |Having a glazed appearance; -- said of the fractured surface of some kinds of pin iron.
glead |A live coal. See Gleed. [Archaic]
