gon |imp. & p. p. of Go. [Obs.] Chaucer.
gonad |One of the masses of generative tissue primitively alike in both sexes, but giving rise to either an ovary or a testis; a generative gland; a germ gland. Wiedersheim.
gonakie |An African timber tree (Acacia Adansonii).
gonangium |See Gonotheca.
gondola |1. A long, narrow boat with a high prow and stern, used in the canals of Venice. A gondola is usually propelled by one or two oarsmen who stand facing the prow, or by poling. A gondola for passengers has a small open cabin amidships, for their protection against the sun or rain. A sumptuary law of Venice required that gondolas should be painted black, and they are customarily so painted now. 2. A flat-bottomed boat for freight. [U. S.] 3. A long platform car, either having no sides or with very low sides, used on railroads. [U. S.]
gondolet |A small gondola. T. Moore.
gondolier |A man who rows a gondola.
gone |p. p. of Go.
goneness |A state of exhaustion; faintness, especially as resulting from hunger. [Colloq. U. S.]
gonfalon |1. The ensign or standard in use by certain princes or states, such as the mediæval republics of Italy, and in more recent times by the pope. 2. A name popularly given to any flag which hangs from a crosspiece or frame instead of from the staff or the mast itself. Standards and gonfalons, 'twixt van and rear, Stream in the air. Milton.
gonfalonier |He who bears the gonfalon; a standard bearer; as: (a) An officer at Rome who bears the standard of the Church. (b) The chief magistrate of any one of several republics in mediæveal Italy. (c) A Turkish general, and standard keeper.
gonfanon |1. The ensign or standard in use by certain princes or states, such as the mediæval republics of Italy, and in more recent times by the pope. 2. A name popularly given to any flag which hangs from a crosspiece or frame instead of from the staff or the mast itself. Standards and gonfalons, 'twixt van and rear, Stream in the air. Milton.
gong |A privy or jakes. [Obs.] Chaucer. Gong farmer, Gong man, a cleaner of privies. [Obs.]\n\n1. Etym: [Malayan (Jav.) gong.]  An instrument, first used in the East, made of an alloy of copper and tin, shaped like a disk with upturned rim, and producing, when struck, a harsh and resounding noise. O'er distant deserts sounds the Tartar gong. Longfellow. 2. (Mach.)  A flat saucerlike bell, rung by striking it with a small hammer which is connected with it by various mechanical devices; a stationary bell, used to sound calls or alarms; -- called also gong bell. Gong metal, an alloy (78 parts of copper, 22 of tin), from which Oriental gongs are made.
gongorism |An affected elegance or euphuism of style, for which the Spanish poet Gongora y Argote (1561-1627), among others of his time, was noted. Gongorism, that curious disease of euphuism, that broke out simultaneously in Italy, England, and Spain. The Critic. The Renaissance riots itself away in Marinism, Gongorism, Euphuism, and the affectations of the Hôtel Rambouillet. J. A. Symonds.
goniatite |One of an extinct genus of fossil cephalopods, allied to the Ammonites. The earliest forms are found in the Devonian formation, the latest, in the Triassic.
gonidial |Pertaining to, or containing, gonidia.\n\nOf or pertaining to the angles of the mouth; as, a gonidial groove of an actinian.
gonidium |A special groove or furrow at one or both angles of the mouth of many Anthozoa.\n\nA component cell of the yellowish green layer in certain lichens.
gonimia |Bluish green granules which occur in certain lichens, as Collema, Peltigera, etc., and which replace the more usual gonidia.
gonimous |Pertaining to, or containing, gonidia or gonimia, as that part of a lichen which contains the green or chlorophyll-bearing cells.
goniometer |An instrument for measuring angles, especially the angles of crystals, or the inclination of planes. Contact, or Hand, goniometer, a goniometer having two movable arms (ab, cd), between which (at ab) the faces of the crystals are placed. These arms turn about a fixed point, which is the center of the graduated circle or semicircle upon which the angle is read off. -- Reflecting goniometer, an instrument for measuring the angles of crystals by determining through what angular space the crystal must be turned so that two rays reflected from two surfaces successively shall have the same direction; -- called also Wollaston's goniometer, from the inventor.
goniometric |Pertaining to, or determined by means of, a goniometer; trigonometric.
goniometrical |Pertaining to, or determined by means of, a goniometer; trigonometric.
goniometry |The art of measuring angles; trigonometry.
gonoblastid |A reproductive bud of a hydroid; a simple gonophore.
gonoblastidium |A blastostyle.
gonocalyx |The bell of a sessile gonozooid.
gonochorism |(a) Separation of the sexes in different individuals; -- opposed to hermaphroditism. (b) In ontogony, differentiation of male and female individuals from embryos having the same rudimentary sexual organs. (c) In phylogeny, the evolution of distinct sexes in species previously hermaphrodite or sexless.
gonococcus |A vegetable microörganism of the genus Micrococcus, occurring in the secretion in gonorrhea. It is believed by some to constitute the cause of this disease.
gonoph |A pickpocket or thief. [Eng. Slang] Dickens.
gonophore |1. (Zoöl.)  A sexual zooid produced as a medusoid bud upon a hydroid, sometimes becoming a free hydromedusa, sometimes remaining attached. See Hydroidea, and Illusts. of Athecata, Campanularian, and Gonosome. 2. (Bot.)  A lengthened receptacle, bearing the stamens and carpels in a conspicuous manner.
gonorrhea |A contagious inflammatory disease of the genitourinary tract, affecting especially the urethra and vagina, and characterized by a mucopurulent discharge, pain in urination, and chordee; clap.
gonorrheal |Of or pertaining to gonorrhea; as, gonorrheal rheumatism.
gonorrhoea |A contagious inflammatory disease of the genitourinary tract, affecting especially the urethra and vagina, and characterized by a mucopurulent discharge, pain in urination, and chordee; clap.
gonorrhoeal |Of or pertaining to gonorrhea; as, gonorrheal rheumatism.
gonosome |The reproductive zooids of a hydroid colony, collectively.
gonotheca |A capsule developed on certain hydroids (Thecaphora), inclosing the blastostyle upon which the medusoid buds or gonophores are developed; -- called also gonangium, and teleophore. See Hydroidea, and Illust. of Campanularian.
gonozooid |A sexual zooid, or medusoid bud of a hydroid; a gonophore. See Hydroidea, and Illust. of Campanularian.
gonydial |Pertaining to the gonys of a bird's beak.
gonys |The keel or lower outline of a bird's bill, so far as the mandibular rami are united.
goober |A peanut. [Southern U. S.]
