guld |A flower. See Gold. [Obs.] Chaucer.
gulden |See Guilder.
gule |To give the color of gules to.\n\nThe throat; the gullet. [Obs.] Throats so wide and gules so gluttonous. Gauden.
gules |The tincture red, indicated in seals and engraved figures of escutcheons by parallel vertical lines. Hence, used poetically for a red color or that which is red. His sev'n-fold targe a field of gules did stain In which two swords he bore; his word, \"Divide and reign.\" P. Fletcher. Follow thy drum; With man's blood paint the ground; gules, gules. Shak. Let's march to rest and set in gules, like suns. Beau. & Fl.
gulf |1. A hollow place in the earth; an abyss; a deep chasm or basin, He then surveyed Hell and the gulf between. Milton. Between us and you there is a great gulf fixed. Luke xvi. 26. 2. That which swallows; the gullet. [Obs.] Shak. 3. That which swallows irretrievably; a whirlpool; a sucking eddy. Shak. A gulf of ruin, swallowing gold. Tennyson. 4. (Geog.)  A portion of an ocean or sea extending into the land; a partially land-locked sea; as, the Gulf of Mexico. 5. (Mining)  A large deposit of ore in a lode. Gulf Stream (Geog.), the warm ocean current of the North Atlantic. Note: It originates in the westward equatorial current, due to the trade winds, is deflected northward by Cape St. Roque through the Gulf of Mexico, and flows parallel to the coast of North America, turning eastward off the island of Nantucket. Its average rate of flow is said to be about two miles an hour. The similar Japan current, or Kuro-Siwo, is sometimes called the Gulf Stream of the Pacific. -- Gulf weed (Bot.), a branching seaweed (Sargassum bacciferum, or sea grape), having numerous berrylike air vessels, -- found in the Gulf Stream, in the Sargasso Sea, and elsewhere.
gulfy |Full of whirlpools or gulfs. Chapman.
gulgul |A cement made in India from sea shells, pulverized and mixed with oil, and spread over a ship's bottom, to prevent the boring of worms.
gulist |A glutton. [Obs.]
gull |To deceive; to cheat; to mislead; to trick; to defraud. The rulgar, gulled into rebellion, armed. Dryden. I'm not gulling him for the emperor's service. Coleridge.\n\n1. A cheating or cheat; trick; fraud. Shak. 2. One easily cheated; a dupe. Shak.\n\nOne of many species of long-winged sea birds of the genus Larus and allied genera. Note: Among the best known American species are the herring gull (Larus argentatus), the great black-backed gull (L. murinus) the laughing gull (L. atricilla), and Bonaparte's gull (L. Philadelphia). The common European gull is Larus canus. Gull teaser (Zoöl.), the jager; -- also applied to certain species of terns.
gullage |Act of being gulled. [Obs.] Had you no quirk. To avoid gullage, sir, by such a creature B. Jonson
guller |One who gulls; a deceiver.
gullery |An act, or the practice, of gulling; trickery; fraud. [R.] \"A mere gullery.\" Selden.
gullet |1. (Anat.)  The tube by which food and drink are carried from the pharynx to the stomach; the esophagus. 2. Something shaped like the food passage, or performing similar functions; as: (a) A channel for water. (b) (Engin.) A preparatory cut or channel in excavations, of sufficient width for the passage of earth wagons. (c) A concave cut made in the teeth of some saw blades.
gulleting |A system of excavating by means of gullets or channels.
gullible |Easily gulled; that may be duped. -- Gul\"li*bii`i*ty, n. Burke.
gullish |Foolish; stupid. [Obs.] Gull\"ish*ness, n. [Obs.]
gully |A large knife. [Scot.] Sir W. Scott.\n\n1. A channel or hollow worn in the earth by a current of water; a short deep portion of a torrent's bed when dry. 2. A grooved iron rail or tram plate. [Eng.] Gully gut, a glutton. [Obs.] Chapman. -- Gully hole, the opening through which gutters discharge surface water.\n\nTo wear into a gully or into gullies.\n\nTo flow noisily. [Obs.] Johnson.
gulosity |Excessive appetite; greediness; voracity. [R.] Sir T. Browne.
gulp |To swallow eagerly, or in large draughts; to swallow up; to take down at one swallow. He does not swallow, but he gulps it down. Cowper. The old man . . . glibly gulped down the whole narrative. Fielding. To gulp up, to throw up from the stomach; to disgorge.\n\n1. The act of taking a large mouthful; a swallow, or as much as is awallowed at once. 2. A disgorging. [Colloq.]
gulph |See Gulf.
gult |Guilt. See Guilt. [Obs.] Chaucer.
gulty |Guilty. [Obs.] Chaucer.
guly |Of or pertaining to gules; red. \"Those fatal guly dragons.\" Milton.
gum |The dense tissues which invest the teeth, and cover the adjacent parts of the jaws. Gum rash (Med.), strophulus in a teething child; red gum. -- Gum stick, a smooth hard substance for children to bite upon while teething.\n\nTo deepen and enlarge the spaces between the teeth of (a worn saw). See Gummer.\n\n1. A vegetable secretion of many trees or plants that hardens when it exudes, but is soluble in water; as, gum arabic; gum tragacanth; the gum of the cherry tree. Also, with less propriety, exudations that are not soluble in water; as, gum copal and gum sandarac, which are really resins. 2. (Bot.)  See Gum tree, below. 3. A hive made of a section of a hollow gum tree; hence, any roughly made hive; also, a vessel or bin made of a hollow log. [Southern U. S.] 4. A rubber overshoe. [Local, U. S.] Black gum, Blue gum, British gum, etc. See under Black, Blue, etc. -- Gum Acaroidea, the resinous gum of the Australian grass tree (Xanlhorrhoea). -- Gum animal (Zoöl.), the galago of West Africa; -- so called because it feeds on gums. See Galago. -- Gum animi or animé. See Animé. -- Gum arabic, a gum yielded mostly by several species of Acacia (chiefly A. vera and A. Arabica) growing in Africa and Southern Asia; -- called also gum acacia. East Indian gum arabic comes from a tree of the Orange family which bears the elephant apple. -- Gum butea, a gum yielded by the Indian plants Butea frondosa and B. superba, and used locally in tanning and in precipitating indigo. -- Gum cistus, a plant of the genus Cistus (Cistus ladaniferus), a species of rock rose.-- Gum dragon. See Tragacanth. -- Gum elastic, Elastic gum. See Caoutchouc. -- Gum elemi. See Elemi. -- Gum juniper. See Sandarac. -- Gum kino. See under Kino. -- Gum lac. See Lac. -- Gum Ladanum, a fragrant gum yielded by several Oriental species of Cistus or rock rose. -- Gum passages, sap receptacles extending through the parenchyma of certain plants (Amygdalaceæ, Cactaceæ, etc.), and affording passage for gum. -- Gum pot, a varnish maker's utensil for melting gum and mixing other ingredients. -- Gum resin, the milky juice of a plant solidified by exposure to air; one of certain inspissated saps, mixtures of, or having properties of, gum and resin; a resin containing more or less mucilaginous and gummy matter. -- Gum sandarac. See Sandarac. -- Gum Senegal, a gum similar to gum arabic, yielded by trees (Acacia Verek and A. Adansoniä) growing in the Senegal country, West Africa. -- Gum tragacanth. See Tragacanth. -- Gum tree, the name given to several trees in America and Australia: (a) The black gum (Nyssa multiflora), one of the largest trees of the Southern States, bearing a small blue fruit, the favorite food of the opossum. Most of the large trees become hollow. (b) A tree of the genus Eucalyptus. See Eucalpytus. (c) The sweet gum tree of the United States (Liquidambar styraciflua), a large and beautiful tree with pointedly lobed leaves and woody burlike fruit. It exudes an aromatic terebinthine juice. -- Gum water, a solution of gum, esp. of gum arabic, in water. -- Gum wood, the wood of any gum tree, esp. the wood of the Eucalyptus piperita, of New South Wales.\n\nTo smear with gum; to close with gum; to unite or stiffen by gum or a gumlike substance; to make sticky with a gumlike substance. He frets likke a gummed velvet.Shak.\n\nTo exude or from gum; to become gummy.
gum ammoniac |The concrete juice (gum resin) of an umbelliferous plant, the Dorema ammoniacum. It is brought chiefly from Persia in the form of yellowish tears, which occur singly, or are aggregated into masses. It has a peculiar smell, and a nauseous, sweet taste, followed by a bitter one. It is inflammable, partially soluble in water and in spirit of wine, and is used in medicine as an expectorant and resolvent, and for the formation of certain plasters.
gumbo |1. A soup thickened with the mucilaginous pods of the okra; okra soup. 2. The okra plant or its pods.
gumboil |A small suppurting inflamed spot on the gum.
gumma |A kind of soft tumor, usually of syphilitic origin.
gummatous |Belonging to, or resembling, gumma.
gummer |A punch-cutting tool, or machine for deepening and enlarging the spaces between the teeth of a worn saw.
gummiferous |Producing gum; gum-bearing.
gumminess |The state or quality of being gummy; viscousness.
gummite |A yellow amorphous mineral, essentially a hydrated oxide of uranium derived from the alteration of uraninite.
gummosity |Gumminess; a viscous or adhesive quality or nature. [R.] Floyer.
gummous |1. Gumlike, or composed of gum; gummy. 2. (Med.)  Of or pertaining to a gumma.
gummy |Consisting of gum; viscous; adhesive; producing or containing gum; covered with gum or a substance resembling gum. Kindles the gummy bark of fir or pine. Milton. Then rubs his gummy eyes. Dryden. Gummy tumor (Med.), a gumma.
gump |A dolt; a dunce. [Low.] Holloway.
