half-faced |Showing only part of the face; wretched looking; meager. Shak.
half-fish |A salmon in its fifth year of growth. [Prov. Eng.]
half-hatched |Imperfectly hatched; as, half-hatched eggs. Gay.
half-heard |Imperfectly or partly heard to the end. And leave half-heard the melancholy tale. Pope.
half-hearted |1. Wanting in heart or spirit; ungenerous; unkind. B. Jonson. 2. Lacking zeal or courage; lukewarm. H. James.
half-hourly |Done or happening at intervals of half an hour.
half-learned |Imperfectly learned.
half-length |Of half the whole or ordinary length, as a picture.
half-mast |A point some distance below the top of a mast or staff; as, a flag a half-mast (a token of mourning, etc.).
half-moon |1. The moon at the quarters, when half its disk appears illuminated. 2. The shape of a half-moon; a crescent. See how in warlike muster they appear, In rhombs, and wedges, and half-moons, and wings. Milton. 3. (Fort.)  An outwork composed of two faces, forming a salient angle whose gorge resembles a half-moon; -- now called a ravelin. 4. (Zoöl.)  A marine, sparoid, food fish of California (Cæsiosoma Californiense). The body is ovate, blackish above, blue or gray below. Called also medialuna.
half-penny |An English coin of the value of half a penny; also, the value of half a penny.
half-pike |A short pike, sometimes carried by officers of infantry, sometimes used in boarding ships; a spontoon. Tatler.
half-port |One half of a shutter made in two parts for closing a porthole.
half-ray |A straight line considered as drawn from a center to an indefinite distance in one direction, the complete ray being the whole line drawn to an indefinite distance in both directions.
half-read |Informed by insufficient reading; superficial; shallow. Dryden.
half-sighted |Seeing imperfectly; having weak discernment. Bacon.
half-sister |A sister by one parent only.
half-strained |Half-bred; imperfect. [R.] \"A half-strained villain.\" Dryden.
half-sword |Half the length of a sword; close fight. \"At half-sword.\" Shak.
half-timbered |Constructed of a timber frame, having the spaces filled in with masonry; -- said of buildings.
half-tone |1. (Fine Arts) (a) An intermediate or middle tone in a painting, engraving, photograph, etc.; a middle tint, neither very dark nor very light. (b) A half-tone photo-engraving. 2.  (Music) A half step.\n\nHaving, consisting of, or pertaining to, half tones; specif. (Photo-engraving),  pertaining to or designating plates, processes, or the pictures made by them, in which gradation of tone in the photograph is reproduced by a graduated system of dotted and checkered spots, usually nearly invisible to the unaided eye, produced by the interposition between the camera and the object of a screen. The name alludes to the fact that this process was the first that was practically successful in reproducing the half tones of the photograph.
half-tongue |A jury, for the trial of a fore foreigner, composed equally of citizens and aliens.
half-wit |A foolish; a dolt; a blockhead; a dunce. Dryden.
half-witted |Weak in intellect; silly.
half-yearly |Two in a year; semiannual. -- adv. Twice in a year; semiannually.
halfbeak |Any slender, marine fish of the genus Hemirhamphus, having the upper jaw much shorter than the lower; -- called also balahoo.
halfcock |To set the cock of (a firearm) at the first notch. To go off halfcocked. (a) To be discharged prematurely, or with the trigger at half cock; -- said of a firearm. (b) To do or say something without due thought or care. [Colloq. or Low]
halfen |Wanting half its due qualities. [Obs.] Spencer.
halfendeal |Half; by the part. [Obs.] Chaucer. -- n.  A half part. [Obs.] R. of Brunne.
halfer |1. One who possesses or gives half only; one who shares. [Obs.] Bp. Montagu. 2. A male fallow deer gelded. Pegge (1814).
halfness |The quality of being half; incompleteness. [R.] As soon as there is any departure from simplicity, and attempt at halfness, or good for me that is not good for him, my neighbor feels the wrong. Emerson.
halfpace |A platform of a staircase where the stair turns back in exactly the reverse direction of the lower flight. See Quarterpace. Note: This term and quartepace are rare or unknown in the United States, platform or landing being used instead.
halfway |In the middle; at half the distance; imperfectly; partially; as, he halfway yielded. Temples proud to meet their gods halfway. Young.\n\nEqually distant from the extremes; situated at an intermediate point; midway. Halfway covenant, a practice among the Congregational churches of New England, between 1657 and 1662, of permitting baptized persons of moral life and orthodox faith to enjoy all the privileges of church membership, save the partaking of the Lord's Supper. They were also allowed to present their children for baptism. -- Halfway house, an inn or place of call midway on a journey.
halibut |A large, northern, marine flatfish (Hippoglossus vulgaris), of the family Pleuronectidæ. It often grows very large, weighing more than three hundred pounds. It is an important food fish. [Written also holibut.]
halichondriae |An order of sponges, having simple siliceous spicules and keratose fibers; -- called also Keratosilicoidea.
halicore |Same as Dugong.
halidom |1. Holiness; sanctity; sacred oath; sacred things; sanctuary; -- used chiefly in oaths. [Archaic] So God me help and halidom. Piers Plowman. By my halidom, I was fast asleep. Shak. 2. Holy doom; the Last Day. [R.] Shipley.
halieutics |A treatise upon fish or the art of fishing; ichthyology.
halimas |The feast of All Saints; Hallowmas. [Obs.]
haliographer |One who writes about or describes the sea.
haliography |Description of the sea; the science that treats of the sea.
haliotis |A genus of marine shells; the ear-shells. See Abalone.
haliotoid |Like or pertaining to the genus Haliotis; ear-shaped.
halisauria |The Enaliosauria.
halite |Native salt; sodium chloride.
halituous |Produced by, or like, breath; vaporous. Boyle.
halk |A nook; a corner. [Obs.] Chaucer.
hall |1. A building or room of considerable size and stateliness, used for public purposes; as, Westminster Hall, in London. 2. (a) The chief room in a castle or manor house, and in early times the only public room, serving as the place of gathering for the lord's family with the retainers and servants, also for cooking and eating. It was often contrasted with the bower, which was the private or sleeping apartment. Full sooty was her bower and eke her hall. Chaucer. Hence, as the entrance from outside was directly into the hall: (b) A vestibule, entrance room, etc., in the more elaborated buildings of later times. Hence: (c) Any corridor or passage in a building. 3. A name given to many manor houses because the magistrate's court was held in the hall of his mansion; a chief mansion house. Cowell. 4. A college in an English university (at Oxford, an unendowed college). 5. The apartment in which English university students dine in common; hence, the dinner itself; as, hall is at six o'clock. 6. Cleared passageway in a crowd; -- formerly an exclamation. [Obs.] \"A hall! a hall!\" B. Jonson. Syn. -- Entry; court; passage. See Vestibule.
hall-mark |The official stamp of the Goldsmiths' Company and other assay offices, in the United Kingdom, on gold and silver articles, attesting their purity. Also used figuratively; -- as, a word or phrase lacks the hall-mark of the best writers.
hallage |A fee or toll paid for goods sold in a hall.
halleluiah |Praise ye Jehovah; praise ye the Lord; -- an exclamation used chiefly in songs of praise or thanksgiving to God, and as an expression of gratitude or adoration. Rev. xix. 1 (Rev. Ver. ) So sung they, and the empyrean rung With Hallelujahs. Milton. In those days, as St. Jerome tells us,\"any one as he walked in the fields, might hear the plowman at his hallelujahs.\" Sharp.
hallelujah |Praise ye Jehovah; praise ye the Lord; -- an exclamation used chiefly in songs of praise or thanksgiving to God, and as an expression of gratitude or adoration. Rev. xix. 1 (Rev. Ver. ) So sung they, and the empyrean rung With Hallelujahs. Milton. In those days, as St. Jerome tells us,\"any one as he walked in the fields, might hear the plowman at his hallelujahs.\" Sharp.
hallelujatic |Pertaining to, or containing, hallelujahs. [R.]
halliard |See Halyard.
hallidome |Same as Halidom.
hallier |A kind of net for catching birds.
halloa |See Halloo.
halloo |A loud exclamation; a call to invite attention or to incite a person or an animal; a shout. List! List! I hear Some far off halloo break the silent air. Milton.\n\nTo cry out; to exclaim with a loud voice; to call to a person, as by the word halloo. Country folks hallooed and hooted after me. Sir P. Sidney.\n\n1. To encourage with shouts. Old John hallooes his hounds again. Prior. 2. To chase with shouts or outcries. If I fly . . . Halloo me like a hare. Shak. 3. To call or shout to; to hail. Shak.\n\nAn exclamation to call attention or to encourage one.
hallow |To make holy; to set apart for holy or religious use; to consecrate; to treat or keep as sacred; to reverence. \"Hallowed be thy name.\" Matt. vi. 9. Hallow the Sabbath day, to do no work therein. Jer. xvii. 24. His secret altar touched with hallowed fire. Milton. In a larger sense . . . we can not hallow this ground [Gettysburg]. A. Lincoln.
halloween |The evening preceding Allhallows or All Saints' Day. [Scot.] Burns.
hallowmas |The feast of All Saints, or Allhallows. To speak puling, like a beggar at Hallowmas. Shak.
halloysite |A claylike mineral, occurring in soft, smooth, amorphous masses, of a whitish color.
hallstatt |Of or pert. to Hallstatt, Austria, or the Hallstatt civilization. -- Hallstatt, or Hallstattian, civilization, a prehistoric civilization of central Europe, variously dated at from 1000 to 1500 b. c. and usually associated with the Celtic or Alpine race. It was characterized by expert use of bronze, a knowledge of iron, possession of domestic animals, agriculture, and artistic skill and sentiment in manufacturing pottery, ornaments, etc. The Hallstattian civilization flourished chiefly in Carinthia, southern Germany, Switzerland, Bohemia, Silesia, Bosnia, the southeast of France, and southern Italy. J. Deniker. -- H. epoch, the first iron age, represented by the Hallstatt civilization.
hallstattian |Of or pert. to Hallstatt, Austria, or the Hallstatt civilization. -- Hallstatt, or Hallstattian, civilization, a prehistoric civilization of central Europe, variously dated at from 1000 to 1500 b. c. and usually associated with the Celtic or Alpine race. It was characterized by expert use of bronze, a knowledge of iron, possession of domestic animals, agriculture, and artistic skill and sentiment in manufacturing pottery, ornaments, etc. The Hallstattian civilization flourished chiefly in Carinthia, southern Germany, Switzerland, Bohemia, Silesia, Bosnia, the southeast of France, and southern Italy. J. Deniker. -- H. epoch, the first iron age, represented by the Hallstatt civilization.
hallucal |Of or pertaining to the hallux.
hallucinate |To wander; to go astray; to err; to blunder; -- used of mental processes. [R.] Byron.
hallucination |1. The act of hallucinating; a wandering of the mind; error; mistake; a blunder. This must have been the hallucination of the transcriber. Addison. 2. (Med.)  The perception of objects which have no reality, or of sensations which have no corresponding external cause, arising from disorder or the nervous system, as in delirium tremens; delusion. Hallucinations are always evidence of cerebral derangement and are common phenomena of insanity. W. A. Hammond.
hallucinator |One whose judgment and acts are affected by hallucinations; one who errs on account of his hallucinations. N. Brit. Rev.
hallucinatory |Partaking of, or tending to produce, hallucination.
