animastic |Pertaining to mind or spirit; spiritual.\n\nPsychology. [Obs.]
animate |1. To give natural life to; to make alive; to quicken; as, the soul animates the body. 2. To give powers to, or to heighten the powers or effect of; as, to animate a lyre. Dryden. 3. To give spirit or vigor to; to stimulate or incite; to inspirit; to rouse; to enliven. The more to animate the people, he stood on high . . . and cried unto them with a loud voice. Knolles. Syn. -- To enliven; inspirit; stimulate; exhilarate; inspire; instigate; rouse; urge; cheer; prompt; incite; quicken; gladden.\n\nEndowed with life; alive; living; animated; lively. The admirable structure of animate bodies. Bentley.
animated |Endowed with life; full of life or spirit; indicating animation; lively; vigorous. \"Animated sounds.\" Pope. \"Animated bust.\" Gray. \"Animated descriptions.\" Lewis.
animatedly |With animation.
animater |One who animates. De Quincey.
animating |Causing animation; life-giving; inspiriting; rousing. \"Animating cries.\" Pope. -- An\"i*ma`ting*ly, adv.
animation |1. The act of animating, or giving life or spirit; the state of being animate or alive. The animation of the same soul quickening the whole frame. Bp. Hall. Perhaps an inanimate thing supplies me, while I am speaking, with whatever I posses of animation. Landor. 2. The state of being lively, brisk, or full of spirit and vigor; vivacity; spiritedness; as, he recited the story with great animation. Suspended animation, temporary suspension of the vital functions, as in persons nearly drowned. Syn. -- Liveliness; vivacity; spirit; buoyancy; airiness; sprightliness; promptitude; enthusiasm; ardor; earnestness; energy. See Liveliness.
animative |Having the power of giving life or spirit. Johnson.
animator |One who, or that which, animates; an animater. Sir T. Browne.
anime |Of a different tincture from the animal itself; -- said of the eyes of a rapacious animal. Brande & C.\n\nA resin exuding from a tropical American tree (Hymenæa courbaril), and much used by varnish makers. Ure.
animism |1. The doctrine, taught by Stahl, that the soul is the proper principle of life and development in the body. 2. The belief that inanimate objects and the phenomena of nature are endowed with personal life or a living soul; also, in an extended sense, the belief in the existence of soul or spirit apart from matter. Tylor.
animist |One who maintains the doctrine of animism.
animistic |Of or pertaining to animism. Huxley. Tylor.
animose |Full of spirit; hot; vehement; resolute. [Obs.] Ash.
animoseness |Vehemence of temper. [Obs.]
animosity |1. Mere spiritedness or courage. [Obs.] Skelton. Such as give some proof of animosity, audacity, and execution, those she [the crocodile] loveth. Holland. 2. Violent hatred leading to active opposition; active enmity; energetic dislike. Macaulay. Syn. -- Enmity; hatred; opposition. -- Animosity, Enmity. Enmity be dormant or concealed; animosity is active enmity, inflamed by collision and mutual injury between opposing parties. The animosities which were continually springing up among the clans in Scotland kept that kingdom in a state of turmoil and bloodshed for successive ages. The animosities which have been engendered among Christian sects have always been the reproach of the church. Such [writings] as naturally conduce to inflame hatreds and make enmities irreconcilable. Spectator. [These] factions . . . never suspended their animosities till they ruined that unhappy government. Hume.
animous |Full of spirit; hot; vehement; resolute. [Obs.] Ash.
animus |Animating spirit; intention; temper. nimus furandi Etym: [L.] (Law), intention of stealing.
anion |An electro-negative element, or the element which, in electro- chemical decompositions, is evolved at the anode; -- opposed to cation. Faraday.
anise |1. (Bot.)  An umbelliferous plant (Pimpinella anisum) growing naturally in Egypt, and cultivated in Spain, Malta, etc., for its carminative and aromatic seeds. 2. The fruit or seeds of this plant.
aniseed |The seed of the anise; also, a cordial prepared from it. \"Oil of aniseed.\" Brande & C.
anisette |A French cordial or liqueur flavored with anise seeds. De Colange.
anisic |Of or derived from anise; as, anisic acid; anisic alcohol.
anisocoria |Inequality of the pupils of the eye.
anisodactyla |(a) A group of herbivorous mammals characterized by having the hoofs in a single series around the foot, as the elephant, rhinoceros, etc. (b) A group of perching birds which are anisodactylous.
anisodactylous |Characterized by unequal toes, three turned forward and one backward, as in most passerine birds.
anisodactyls |(a) A group of herbivorous mammals characterized by having the hoofs in a single series around the foot, as the elephant, rhinoceros, etc. (b) A group of perching birds which are anisodactylous.
anisol |Methyl phenyl ether, C6H5OCH3, got by distilling anisic acid or by the action of methide on potassium phenolate.
anisomeric |Not isomeric; not made of the same components in the same proportions.
anisomerous |Having the number of floral organs unequal, as four petals and six stamens.
anisometric |Not isometric; having unsymmetrical parts; -- said of crystals with three unequal axes. Dana.
anisometropia |Unequal refractive power in the two eyes.
anisopetalous |Having unequal petals.
anisophyllous |Having unequal leaves.
anisopleura |A primary division of gastropods, including those having spiral shells. The two sides of the body are unequally developed.
anisopoda |A division of Crustacea, which, in some its characteristics, is intermediate between Amphipoda and Isopoda.
anisospore |A sexual spore in which the sexes differ in size; -- opposed to isospore.
anisostemonous |Having unequal stamens; having stamens different in number from the petals.
anisosthenic |Of unequal strength.
anisotrope |Not isotropic; having different properties in different directions; thus, crystals of the isometric system are optically isotropic, but all other crystals are anisotropic.
anisotropic |Not isotropic; having different properties in different directions; thus, crystals of the isometric system are optically isotropic, but all other crystals are anisotropic.
anisotropous |Anisotropic.
anisyl |(a) The univalent radical, CH3OC6H4, of which anisol is the hydride. (b) The univalent radical CH3OC6H4CH2; as, anisyl alcohol. (c) The univalent radical CH3OC6H4CO, of anisic acid.
anito |In Guam and the Philippines, an idol, fetich, or spirit.
anker |A liquid measure in various countries of Europe. The Dutch anker, formerly also used in England, contained about 10 of the old wine gallons, or 8
ankerite |A mineral closely related to dolomite, but containing iron.
ankh |A tau cross with a loop at the top, used as an attribute or sacred emblem, symbolizing generation or enduring life. Called also crux ansata.
ankle |The joint which connects the foot with the leg; the tarsus. Ankle bone, the bone of the ankle; the astragalus.
ankled |Having ankles; -- used in composition; as, well-ankled. Beau. & Fl.
anklet |An ornament or a fetter for the ankle; an ankle ring.
ankus |An elephant goad with a sharp spike and hook, resembling a short-handled boat hook. [India] Kipling.
ankylose |Same as Anchylose.
ankylosis |1. (Med.)  Stiffness or fixation of a joint; formation of a stiff joint. Dunglison. 2. (Anat.)  The union of two or more separate bones to from a single bone; the close union of bones or other structures in various animals.\n\nSame as Anchylosis.
ankylostomiasis |A disease due to the presence of the parasites Agchylostoma duodenale, Uncinaria (subgenus Necator) americana, or allied nematodes, in the small intestine. When present in large numbers they produce a severe anæmia by sucking the blood from the intestinal walls.  Called also miner's anæmia, tunnel disease, brickmaker's anæmia, Egyptian chlorosis.
anlace |A broad dagger formerly worn at the girdle. [Written also anelace.]
anlaut |An initial sound, as of a word or syllable. -- Im anlaut, initially; when initial; --used of sounds.
ann |A half years's stipend, over and above what is owing for the incumbency, due to a minister's heirs after his decease.
anna |An East Indian money of account, the sixteenth of a rupee, or about 2
annal |See Annals.
annalist |A writer of annals. The monks . . . were the only annalists in those ages. Hume.
annalistic |Pertaining to, or after the manner of, an annalist; as, the dry annalistic style.\"A stiff annalistic method.\" Sir G. C. Lewis.
annalize |To record in annals. Sheldon.
annals |1. A relation of events in chronological order, each event being recorded under the year in which it happened. \"Annals the revolution.\" Macaulay. \"The annals of our religion.\" Rogers. 2. Historical records; chronicles; history. The short and simple annals of the poor. Gray. It was one of the most critical periods in our annals. Burke. 3. sing.  The record of a single event or item. \"In deathless annal.\" Young. 4. A periodic publication, containing records of discoveries, transactions of societies, etc.; as \"Annals of Science.\" Syn. -- History. See History.
annat |A half years's stipend, over and above what is owing for the incumbency, due to a minister's heirs after his decease.
annates |The first year's profits of a spiritual preferment, anciently paid by the clergy to the pope; first fruits. In England, they now form a fund for the augmentation of poor livings.
annats |The first year's profits of a spiritual preferment, anciently paid by the clergy to the pope; first fruits. In England, they now form a fund for the augmentation of poor livings.
anneal |1. To subject to great heat, and then cool slowly, as glass, cast iron, steel, or other metal, for the purpose of rendering it less brittle; to temper; to toughen. 2. To heat, as glass, tiles, or earthenware, in order to fix the colors laid on them.
annealer |One who, or that which, anneals.
annealing |1. The process used to render glass, iron, etc., less brittle, performed by allowing them to cool very gradually from a high heat. 2. The burning of metallic colors into glass, earthenware, etc.
annectent |Connecting; annexing. Owen.
annelid |Of or pertaining to the Annelida. -- n.  One of the Annelida.
annelida |A division of the Articulata, having the body formed of numerous rings or annular segments, and without jointed legs. The principal subdivisions are the Chætopoda, including the Oligochæta or earthworms and Polychæta or marine worms; and the Hirudinea or leeches. See Chætopoda.
annelidan |Of or pertaining to the Annelida. -- n.  One of the Annelida.
annelidous |Of the nature of an annelid.
annellata |See Annelida.
anneloid |An animal resembling an annelid.
annex |1. To join or attach; usually to subjoin; to affix; to append; -- followed by to. \"He annexed a codicil to a will.\" Johnson. 2. To join or add, as a smaller thing to a greater. He annexed a province to his kingdom. Johnson. 3. To attach or connect, as a consequence, condition, etc.; as, to annex a penalty to a prohibition, or punishment to guilt. Syn. -- To add; append; affix; unite; coalesce. See Add.\n\nTo join; to be united. Tooke.\n\nSomething annexed or appended; as, an additional stipulation to a writing, a subsidiary building to a main building; a wing.
annexation |1. The act of annexing; process of attaching, adding, or appending; the act of connecting; union; as, the annexation of Texas to the United States, or of chattels to the freehold. 2. (a) (Law) The union of property with a freehold so as to become a fixture. Bouvier. (b) (Scots Law) The appropriation of lands or rents to the crown. Wharton.
annexationist |One who favors annexation.
annexer |One who annexes.
annexion |Annexation. [R.] Shak.
annexionist |An annexationist. [R.]
annexment |The act of annexing, or the thing annexed; appendage. [R.] Shak.
annicut |A dam or mole made in the course of a stream for the purpose of regulating the flow of a system of irrigation. [India] Brande & C.
annihilable |Capable of being annihilated.
annihilate |1. To reduce to nothing or nonexistence; to destroy the existence of; to cause to cease to be. It impossible for any body to be utterly annihilated. Bacon. 2. To destroy the form or peculiar distinctive properties of, so that the specific thing no longer exists; as, to annihilate a forest by cutting down the trees. \"To annihilate the army.\" Macaulay. 3. To destroy or eradicate, as a property or attribute of a thing; to make of no effect; to destroy the force, etc., of; as, to annihilate an argument, law, rights, goodness.\n\nAnhilated. [Archaic] Swift.
annihilation |1. The act of reducing to nothing, or nonexistence; or the act of destroying the form or combination of parts under which a thing exists, so that the name can no longer be applied to it; as, the annihilation of a corporation. 2. The state of being annihilated. Hooker.
annihilationist |One who believes that eternal punishment consists in annihilation or extinction of being; a destructionist.
annihilative |Serving to annihilate; destructive.
annihilator |One who, or that which, annihilates; as, a fire annihilator.
annihilatory |Annihilative.
anniversarily |Annually. [R.] Bp. Hall.
anniversary |Returning with the year, at a stated time; annual; yearly; as, an anniversary feast. Anniversary day (R. C. Ch.). See Anniversary, n., 2. -- Anniversary week, that week in the year in which the annual meetings of religious and benevolent societies are held in Boston and New York. [Eastern U. S.]\n\n1. The annual return of the day on which any notable event took place, or is wont to be celebrated; as, the anniversary of the Declaration of Independence. 2. (R. C. Ch.)  The day on which Mass is said yearly for the soul of a deceased person; the commemoration of some sacred event, as the dedication of a church or the consecration of a pope. 3. The celebration which takes place on an anniversary day. Dryden.
anniverse |Anniversary. [Obs.] Dryden.
anno domini |In the year of the Christian era; as, a. d. 1887.
annodated |Curved somewhat in the form of the letter S. Cussans.
annominate |To name. [R.]
annomination |1. Paronomasia; punning. 2. Alliteration. [Obs.] Tyrwhitt.
annotate |To explain or criticize by notes; as, to annotate the works of Bacon.\n\nTo make notes or comments; -- with on or upon.
annotation |A note, added by way of comment, or explanation; -- usually in the plural; as, annotations on ancient authors, or on a word or a passage.
annotationist |An annotator. [R.]
annotative |Characterized by annotations; of the nature of annotation.
annotator |A writer of annotations; a commentator.
annotatory |Pertaining to an annotator; containing annotations. [R.]
annotine |A bird one year old, or that has once molted.
annotinous |A year old; in Yearly growths.
annotto |A red or yellowish-red dyeing material, prepared from the pulp surrounding the seeds of a tree (Bixa orellana) belonging to the tropical regions of America. It is used for coloring cheese, butter, etc. [Written also Anatto, Anatta, Annatto, Annotta, etc.]
