hortatory |Giving exhortation or advise; encouraging; exhortatory; inciting; as, a hortatory speech. Holland.
hortensial |Fit for a garden. [Obs.] Evelyn.
horticultor |One who cultivates a garden.
horticultural |Of or pertaining to horticulture, or the culture of gardens or orchards.
horticulture |The cultivation of a garden or orchard; the art of cultivating gardens or orchards.
horticulturist |One who practices horticulture.
hortulan |Belonging to a garden. [Obs.] Evelyn.
hortus siccus |A collection of specimens of plants, dried and preserved, and arranged systematically; an herbarium.
hortyard |An orchard. [Obs.]
hosanna |A Hebrew exclamation of praise to the Lord, or an invocation of blessings. \"Hosanna to the Highest.\" Milton. Hosanna to the Son of David. Matt. xxi. 9.
hose |1. Close-fitting trousers or breeches, as formerly worn, reaching to the knee. These men were bound in their coats, their hosen, and their hats, and their other garments. Dan. iii. 21. His youthful hose, well saved, a world too wide For his shrunk shank. Shak. 2. Covering for the feet and lower part of the legs; a stocking or stockings. 3. A flexible pipe, made of leather, India rubber, or other material, and used for conveying fluids, especially water, from a faucet, hydrant, or fire engine. Hose carriage, cart, or truck, a wheeled vehicle fitted for conveying hose for extinguishing fires. -- Hose company, a company of men appointed to bring and manage hose in the extinguishing of fires. [U.S.] -- Hose coupling, coupling with interlocking parts for uniting hose, end to end. -- Hose wrench, a spanner for turning hose couplings, to unite or disconnect them.
hosen |See Hose. [Archaic]
hosier |One who deals in hose or stocking, or in goods knit or woven like hose.
hosiery |1. The business of a hosier. 2. Stockings, in general; goods knit or woven like hose.
hospice |A convent or monastery which is also a place of refuge or entertainment for travelers on some difficult road or pass, as in the Alps; as, the Hospice of the Great St. Bernard.
hospitable |1. Receiving and entertaining strangers or guests with kindness and without reward; kind to strangers and guests; characterized by hospitality. Shak. 2. Proceeding from or indicating kindness and generosity to guests and strangers; as, hospitable rites. To where you taper cheers the vale With hospitable ray. Goldsmith.
hospitableness |The quality of being hospitable; hospitality. Barrow.
hospitably |In a hospitable manner.
hospitage |Hospitality. [Obs.] Spenser.
hospital |1. A place for shelter or entertainment; an inn. [Obs.] Spenser. 2. A building in which the sick, injured, or infirm are received and treated; a public or private institution founded for reception and cure, or for the refuge, of persons diseased in body or mind, or disabled, infirm, or dependent, and in which they are treated either at their own expense, or more often by charity in whole or in part; a tent, building, or other place where the sick or wounded of an army cared for. Hospital ship, a vessel fitted up for a floating hospital. -- Hospital Sunday, a Sunday set apart for simultaneous contribution in churches to hospitals; as, the London Hospital Sunday.\n\nHospitable. [Obs.] Howell.
hospitaler |1. One residing in a hospital, for the purpose of receiving the poor, the sick, and strangers. 2. One of an order of knights who built a hospital at Jerusalem for pilgrims, A. D. 1042. They were called Knights of St. John of Jerusalem, and after the removal of the order to Malta, Knights of Malta.
hospitalism |A vitiated condition of the body, due to long confinement in a hospital, or the morbid condition of the atmosphere of a hospital.
hospitality |The act or practice of one who is hospitable; reception and entertainment of strangers or guests without reward, or with kind and generous liberality. Given to hospitality. Rom. xii. 13. And little recks to find the way to heaven By doing deeds of hospitality. Shak.
hospitalize |To render (a building) unfit for habitation, by long continued use as a hospital.
hospitate |To receive hospitality; to be a guest. [Obs.] Grew.\n\nTo receive with hospitality; to lodge as a guest. [Obs.] Cockeram.
hospitium |1. An inn; a lodging; a hospice. [Obs.] 2. (Law)  An inn of court.
hospodar |A title borne by the princes or governors of Moldavia and Wallachia before those countries were united as Roumania.
host |The consecrated wafer, believed to be the body of Christ, which in the Mass is offered as a sacrifice; also, the bread before consecration. Note: In the Latin Vulgate the word was applied to the Savior as being an offering for the sins of men.\n\n1. An army; a number of men gathered for war. A host so great as covered all the field. Dryden. 2. Any great number or multitude; a throng. And suddenly there was with the angel a multitude of the heavenly host praising God. Luke ii. 13. All at once I saw a crowd, A host, of golden daffodils. Wordsworth.\n\nOne who receives or entertains another, whether gratuitosly or for compensation; one from whom another receives food, lodging, or entertainment; a landlord. Chaucer. \"Fair host and Earl.\" Tennyson. Time is like a fashionable host, That slightly shakes his parting guest by the hand. Shak.\n\nTo give entertainment to. [Obs.] Spenser.\n\nTo lodge at an inn; to take up entertainment. [Obs.] \"Where you shall host.\" Shak.
host plant |A plant which aids, shelters, or protects another plant in its growth, as those which are used for nurse crops.
hostage |A person given as a pledge or security for the performance of the conditions of a treaty or stipulations of any kind, on the performance of which the person is to be released. Your hostages I have, so have you mine; And we shall talk before we fight. Shak. He that hath a wife and children hath given hostages to fortune. Bacon.
hostel |1. An inn. [Archaic] Poe. So pass I hostel, hall, and grange. Tennyson. 2. A small, unendowed college in Oxford or Cambridge. [Obs.] Holinshed.
hosteler |1. The keeper of a hostel or inn. 2. A student in a hostel, or small unendowed collede in Oxford or Cambridge. [Obs.] Fuller.
hostelry |An inn; a lodging house. [Archaic] Chaucer. \"Homely brought up in a rude hostelry.\" B. Jonson. Come with me to the hostelry. Longfellow.
hostess |1. A female host; a woman who hospitably entertains guests at her house. Shak. 2. A woman who entertains guests for compensation; a female innkeeper. Shak.
hostess-ship |The character, personality, or office of a hostess. Shak.
hostie |The consecrated wafer; the host. [Obs.] Bp. Burnet.
