informed |Unformed or ill-formed; deformed; shapeless. [Obs.] Spenser. Informed stars. See under Unformed.
informer |1. One who informs, animates, or inspires. [Obs.] Thomson. Nature, informer of the poet's art. Pope. 2. One who informs, or imparts knowledge or news. 3. (Law)  One who informs a magistrate of violations of law; one who informs against another for violation of some law or penal statute. Common informer (Law), one who habitually gives information of the violation of penal statutes, with a view to a prosecution therefor. Bouvier. Wharton.
informidable |Not formidable; not to be feared or dreaded. [Obs.] \"Foe not informidable.\" Milton.
informity |Want of regular form; shapelessness. [Obs.]
informous |Of irregular form; shapeless. [Obs.] Sir T. Browne.
infortunate |Unlucky; unfortunate. [Obs.] Shak. \"A most infortynate chance.\" Howell. - In*for\"tu*nate*ly, adv. [Obs.]
infortune |Misfortune. [Obs.] Chaucer.
infortuned |Unfortunate. [Obs.] I, woeful wretch and infortuned wight. Chaucer.
infound |To pour in; to infuse. [Obs.] Sir T. More.
infra |Below; beneath; under; after; -- often used as a prefix.
infra-axillary |Situated below the axil, as a bud.
infra-red |Lying outside the visible spectrum at its red end; -- said of rays less refrangible than the extreme red rays.
infrabranchial |Below the gills; -- applied to the ventral portion of the pallial chamber in the lamellibranchs.
infraclavicular |Below the clavicle; as, the infraclavicular fossa.
infract |Not broken or fractured; unharmed; whole. [Obs.] Chapman.\n\nTo break; to infringe. [R.] Thomson.
infractible |Capable of being broken.[R.]
infraction |The act of infracting or breaking; breach; violation; nonobservance; infringement; as, an infraction of a treaty, compact, rule, or law. I. Watts.
infractor |One who infracts or infringes; a violator; a breaker.
infragrant |Not fragrant.
infrahyoid |Same as Hyosternal (a).
infralabial |Below the lower lip; -- said of certain scales of reptiles and fishes.
infralapsarian |One of that class of Calvinists who consider the decree of election as contemplating the apostasy as past and the elect as being at the time of election in a fallen and guilty state; -- opposed to Supralapsarian. The former considered the election of grace as a remedy for an existing evil; the latter regarded the fall as a part of God's original purpose in regard to men.\n\nOf or pertaining to the Infralapsarians, or to their doctrine.
infralapsarianism |The doctrine, belief, or principles of the Inralapsarians.
inframarginal |Below the margin; submarginal; as, an inframarginal convolution of the brain.
inframaxillary |(a) Under the lower jaw; submaxillary; as, the inframaxillary nerve. (b) Of or pertaining to the lower iaw.
inframedian |Of or pertaining to the interval or zone along the sea bottom, at the depth of between fifty and one hundred fathoms. E. Forbes.
inframundane |Lying or situated beneath the world.
infranchise |See Enfranchise.
infrangibility |The quality or state of being infrangible; infrangibleness.
infrangible |1. Not capable of being broken or separated into parts; as, infrangible atoms. [He] link'd their fetlocks with a golden band Infrangible. Pope. 2. Not to be infringed or violated.
infrangibleness |The state or quality of being infrangible; infrangibility.
infraocular |Situated below the eyes, as the antenna of certain insects.
infraorbital |Below the orbit; as, the infraorbital foramen; the infraorbital nerve.
infrapose |To place under or beneath. [R.]
infraposition |A situation or position beneath. Kane.
infrascapular |Beneath the scapula, or shoulder blade; subscapular.
infraspinal |(a) Below the vertebral column, subvertebral. (b) Below the spine; infraspinate; infraspinous.
infraspinate |Below the spine; infraspinal; esp., below the spine of the scapula; as, the infraspinous fossa; the infraspinate muscle.
infraspinous |Below the spine; infraspinal; esp., below the spine of the scapula; as, the infraspinous fossa; the infraspinate muscle.
infrastapedial |Of or pertaining to a part of the columella of the ear, which in many animals projects below the connection with the stapes. -- n.  The infrastapedial part of the columella.
infrasternal |Below the sternum; as, the infrasternal depression, or pit of the stomach.
infratemporal |Below the temple; below the temporal bone.
infraterritorial |Within the territory of a state. Story.
infratrochlear |Below a trochlea, or pulley; -- applied esp. to one of the subdivisions of the trigeminal nerve.
infrequence |1. The state of rarely occuring; uncommonness; rareness; as, the infrquence of his visits. 2. The state of not being frequented; solitude; isolation; retirement; seclusion. [R.] The solitude and infrequency of the place. Bp. Hall.
infrequency |1. The state of rarely occuring; uncommonness; rareness; as, the infrquence of his visits. 2. The state of not being frequented; solitude; isolation; retirement; seclusion. [R.] The solitude and infrequency of the place. Bp. Hall.
