isagoge |An introduction. [Obs.] Harris.
isagogic |Introductory; especially, introductory to the study of theology.
isagogical |Introductory; especially, introductory to the study of theology.
isagogics |That part of theological science directly preliminary to actual exegesis, or interpretation of the Scriptures.
isagon |A figure or polygon whose angles are equal.
isapostolic |Having equal, or almost equal, authority with the apostles of their teachings.
isatic |Pertaining to, or derived from, isatin; as, isatic acid, which is also called trioxindol.
isatide |A white crystalline substance obtained by the partial reduction of isatin. [Written also isatyde.]
isatin |An orange-red crystalline substance, C8H5NO2, obtained by the oxidation of indigo blue. It is also produced from certain derivatives of benzoic acid, and is one important source of artificial indigo. [Written also, less properly, isatine.]
isatinic |Pertaining to, or derived from, isatin; as, isatic acid, which is also called trioxindol.
isatis |A genus of herbs, some species of which, especially the Isatis tinctoria, yield a blue dye similar to indigo; woad.
isatogen |A complex nitrogenous radical, C8H4NO2, regarded as the essential residue of a series of compounds, related to isatin, which easily pass by reduction to indigo blue. -- I*sat`o*gen\"ic, a.
isatropic |Pertaining to, or designating, an acid obtained from atropine, and isomeric with cinnamic acid.
ischiac |See Ischial.
ischiadic |Ischial. [R.] Ischiadic passion or disease (Med.), a rheumatic or neuralgic affection of some part about the hip joint; -- called also sciatica.
ischial |Of or pertaining to the ischium or hip; ischiac; ischiadic; ischiatic. Ischial callosity (Zoöl.), one of the patches of thickened hairless, and often bright-colored skin, on the buttocks of many apes, as the drill.
ischiatic |Same as Ishial.
ischiocapsular |Of or pertaining to the ischium and the capsule of the hip joint; as, the ischiocapsular ligament.
ischiocerite |The third joint or the antennæ of the Crustacea.
ischion |1. (Anat.)  The ventral and posterior of the three principal bones composing either half of the pelvis; seat bone; the huckle bone. 2. (Zoöl.)  One of the pleuræ of insects.
ischiopodite |The third joint of the typical appendages of Crustacea.
ischiorectal |Of or pertaining to the region between the rectum and ishial tuberosity.
ischium |1. (Anat.)  The ventral and posterior of the three principal bones composing either half of the pelvis; seat bone; the huckle bone. 2. (Zoöl.)  One of the pleuræ of insects.
ischuretic |Having the quality of relieving ischury. -- n.  An ischuretic medicine.
ischury |A retention or suppression of urine.
isentropic |Having equal entropy. Isentropic lines, lines which pass through points having equal entropy.
isethionic |Pertaining to, derived from, or designating, an acid, HO.C2H4.SO3H, obtained as an oily or crystalline substance, by the action of sulphur trioxide on alcohol or ether. It is derivative of sulphuric acid.
ishmaelite |1. A descendant of Ishmael (the son of Abraham and Hagar), of whom it was said, \"His hand will be against every man, and every man's hand against him.\" Gen. xvi. 12. 2. One at enmity with society; a wanderer; a vagabond; an outcast. Thackeray. 3. See Ismaelian.
ishmaelitish |Of, pertaining to, or resembling, an Ishmaelite or the Ishmaelites.
isiac |Pertaining to the goddess Isis; as, Isiac mysteries.
isicle |A icicle. [Obs.]
isidorian |Pertaining, or ascribed, to Isidore; as, the Isidorian decretals, a spurious collection of decretals published in the ninth century.
isinglass |1. A semitransparent, whitish, and very pure from of gelatin, chiefly prepared from the sounds or air bladders of various species of sturgeons (as the Acipenser huso) found in the of Western Russia. It used for making jellies, as a clarifier, etc. Cheaper forms of gelatin are not unfrequently so called. Called also fish glue. 2. (Min.)  A popular name for mica, especially when in thin sheets.
isis |1. (Myth.)  The principal goddess worshiped by the Egyptians. She was regarded as the mother of Horus, and the sister and wife of Osiris. The Egyptians adored her as the goddess of fecundity, and as the great benefactress of their country, who instructed their ancestors in the art of agriculture. 2. (Zoöl.)  Any coral of the genus Isis, or family Isidæ, composed of joints of white, stony coral, alternating with flexible, horny joints. See Gorgoniacea. 3. (Astron.)  One of the asteroids.
islam |1. The religion of the Mohammedans; Mohammedanism; Islamism. Their formula of faith is: There is no God but Allah, and Mohammed is his prophet. 2. The whole body of Mohammedans, or the countries which they occupy.
islamism |The faith, doctrines, or religious system of the Mohammedans; Mohammedanism; Islam.
islamite |A Mohammedan.
islamitic |Of or pertaining to Islam; Mohammedan.
islamize |To conform, or cause to conform, to the religion of Islam.
island |1. A tract of land surrounded by water, and smaller than a continent. Cf. Continent. 2. Anything regarded as resembling an island; as, an island of ice. 3. (Zoöl.)  See Isle, n., 2. Islands of the blessed (Myth.), islands supposed to lie in the Western Ocean, where the favorites of the gods are conveyed at death, and dwell in everlasting joy.\n\n1. To cause to become or to resemble an island; to make an island or islands of; to isle. Shelley. 2. To furnish with an island or with islands; as, to island the deep. Southey.
islander |An inhabitant of an island.
islandy |Of or pertaining to islands; full of islands. Cotgrave.
isle |See Aisle.\n\n1. An island. [Poetic] Imperial rule of all the seagirt isles. Milton. 2. (Zoöl.)  A spot within another of a different color, as upon the wings of some insects.\n\nTo cause to become an island, or like an island; to surround or encompass; to island. [Poetic] Isled in sudden seas of light. Tennyson.
islet |A little island.
ism |A doctrine or theory; especially, a wild or visionary theory. E. Everett. The world grew light-headed, and forth came a spawn of isms which no man can number. S. G. Goodrich.
ismaelian |One of a sect of Mohammedans who favored the pretensions of the family of Mohammed ben Ismael, of the house Ali.
ismaelite |One of a sect of Mohammedans who favored the pretensions of the family of Mohammed ben Ismael, of the house Ali.
iso- |A prefix or combining form, indicating identity, or equality; the same numerical value; as in isopod, isomorphous, isochromatic. Specif.: (a) (Chem.) Applied to certain compounds having the same composition but different properties; as in isocyanic. (b) (Organic Chem.) Applied to compounds of certain isomeric series in whose structure one carbon atom, at least, is connected with three other carbon atoms; -- contrasted with neo- and normal; as in isoparaffine; isopentane.
isobar |A line connecting or marking places upon the surface of the earth where height of the barometer reduced to sea level is the same either at a given time, or for a certain period (mean height), as for a year; an isopiestic line. [Written also isobare.]\n\nThe quality or state of being equal in weight, especially in atmospheric pressure. Also, the theory, method, or application of isobaric science.
isobaric |Denoting equal pressure; as, an isobaric line; specifically, of or pertaining to isobars.
isobarism |The quality or state of being equal in weight, especially in atmospheric pressure. Also, the theory, method, or application of isobaric science.
isobarometric |Indicating equal barometric pressure.
isobathytherm |A line connecting the points on the surface of the earth where a certain temperature is found at the same depth.
isobathythermic |Of or pertaining to an isobathytherm; possessing or indicating the same temperature at the same depth.
isobront |An imaginary line, or a line on a chart, marking the simultaneous development of a thunderstorm, as noted by observing the time when the thunder is heard at different places.
isocephalism |A peculiarity in the design of bas-relief by which the heads of human figures are kept at the same height from the ground, whether the personages are seated, standing, or mounted on horseback; -- called also isokephaleia.
isochasm |A line connecting places on the earth's surface at which there is the same mean frequency of auroras.
isochasmic |Indicating equal auroral display; as, an isochasmic line.
isocheim |A line connecting places on the earth having the same mean winter temperature. Cf. Isothere.
isocheimal |Pertaining to, having the nature of, or making, isocheims; as, an isocheimal line; an isocheimal chart.
isocheimenal |The same as Isocheimal.
isocheimic |The same as Isocheimal.
isochimal |Pertaining to, having the nature of, or making, isocheims; as, an isocheimal line; an isocheimal chart.
isochimenal |The same as Isocheimal.
isochimene |The same as Isocheim.
isochor |A line upon a thermodynamic diagram so drawn as to represent the pressures corresponding to changes of temperature when the volume of the gas operated on is constant. -- I`so*chor\"ic (#), a.
isochromatic |Having the same color; connecting parts having the same color, as lines drawn through certain points in experiments on the chromatic effects of polarized light in crystals.
isochronal |Uniform in time; of equal time; performed in equal times; recurring at regular intervals; isochronal vibrations or oscillations.
isochronic |Isochronal.
isochronism |The state or quality of being isochronous.
isochronize |To make, or tend to make (the motion of a moving body), uniform in rate of rotation, or in frequency of vibration.
isochronon |A clock that is designed to keep very accurate time.
isochronous |Same as Isochronal.
isochroous |Having the same tint or color throughout; uniformly or evenly colored.
isoclinal |Of or pertaining to, or indicating, equality of inclination or dip; having equal inclination or dip. Isoclinal lines (Magnetism), lines on the earth's surface connecting places at which a dipping needle indicates the same inclination or dip.
isoclinic |Of or pertaining to, or indicating, equality of inclination or dip; having equal inclination or dip. Isoclinal lines (Magnetism), lines on the earth's surface connecting places at which a dipping needle indicates the same inclination or dip.
isocrymal |Pertaining to, having the nature of, or illustrating, an isocryme; as, an isocrymal line; an isocrymal chart.
isocryme |A line connecting points on the earth's surface having the same mean temperature in the coldest month of the year.
isocrymic |Isocrymal.
isocyanic |Designating an acid isomeric with cyanic acid. Isocyanic acid, an acid metameric with cyanic acid, and resembling it in its salts. It is obtained as a colorless, mobile, unstable liquid by the heating cyanuric acid. Called technically carbimide.
isocyanuric |Designating, or pertaining to, an acid isomeric with cyanuric acid, and called also fulminuric acid. See under Fulminuric.
isodiabatic |Pertaining to the reception or the giving out of equal quantities of heat by a substance. Rankine. Isodiabatic lines or curves, a pair of lines or curves exhibiting, on a diagram of energy, the law of variation of the pressure and density of a fluid, the one during the lowering, and the other during the raising, of its temperature, when the quantity of heat given out by the fluid during any given stage of the one process is equal to the quantity received during the corresponding stage of the other. Such lines are said to be isodiabatic with respect to each other. Compare Adiabatic.
isodiametric |1. (Crystallog.)  Developed alike in the directions of the several lateral axes; -- said of crystals of both the tetragonal and hexagonal systems. 2. (Bot.)  Having the several diameters nearly equal; -- said of the cells of ordinary parenchyma.
isodimorphic |Isodimorphous.
isodimorphism |Isomorphism between the two forms severally of two dimorphous substances.
isodimorphous |Having the quality of isodimorphism.
isodrome |A method of moving a fleet from one formation to another, the direction usually being changed eight points (90º), by means of paths of equal length for each ship. It is prohibited in the United States navy.
isodulcite |A white, crystalline, sugarlike substance, obtained by the decomposition of certain glucosides, and intermediate in nature between the hexacid alcohols (ductile, mannite, etc.) and the glucoses.
isodynamic |Of, pertaining to, having, or denoting, equality of force. Isodynamic foods (Physiol.), those foods that produce a similar amount of heat. -- Isodynamic lines (Magnetism), lines on the earth's surface connecting places at which the magnetic intensity is the same.
isodynamous |Of equal force or size.
isogeotherm |A line or curved surface passing beneath the earth's surface through points having the same mean temperature.
isogeothermal |Pertaining to, having the nature of, or marking, isogeotherms; as, an isogeothermal line or surface; as isogeothermal chart. -- n.  An isogeotherm.
isogeothermic |Pertaining to, having the nature of, or marking, isogeotherms; as, an isogeothermal line or surface; as isogeothermal chart. -- n.  An isogeotherm.
isogonic |Pertaining to, or noting, equal angles. Isogonic lines (Magnetism), lines traced on the surface of the globe, or upon a chart, connecting places at which the deviation of the magnetic needle from the meridian or true north is the same.\n\nCharacterized by isogonism.
isogonism |The quality of having similar sexual zooids or gonophores and dissimilar hydrants; -- said of certain hydroids.
isographic |Of or pertaining to isography.
isography |Imitation of another's handwriting,
isohyetose |Of or pertaining to lines connecting places on the earth's surface which have a mean annual rainfall. -- n.  An isohyetose line.
isolable |Capable of being isolated, or of being obtained in a pure state; as, gold is isolable.
isolate |1. To place in a detached situation; to place by itself or alone; to insulate; to separate from others. Short isolated sentences were the mode in which ancient wisdom delighted to convey its precepts. Bp. Warburton. 2. (Elec.)  To insulate. See Insulate. 3. (Chem.)  To separate from all foreign substances; to make pure; to obtain in a free state.
isolated |Placed or standing alone; detached; separated from others. Isolated point of a curve. (Geom.) See Acnode.
isolatedly |In an isolated manner.
isolation |The act of isolating, or the state of being isolated; insulation; separation; loneliness. Milman.
isolator |One who, or that which, isolates.
isologous |Having similar proportions, similar relations, or similar differences of composition; -- said specifically of groups or series which differ by a constant difference; as, ethane, ethylene, an acetylene, or their analogous compounds, form an isologous series.
isomer |A body or compound which is isomeric with another body or compound; a member of an isomeric series.
isomere |1. A homologous or corresponding part or segment. 2.  (Chem.) = Isomer.
isomeric |Having the same percentage composition; -- said of two or more different substances which contain the same ingredients in the same proportions by weight, often used with with. Specif.: (a) Polymeric; i. e., having the same elements united in the same proportion by weight, but with different molecular weights; as, acetylene and benzine are isomeric (polymeric) with each other in this sense. See Polymeric. (b) Metameric; i. e., having the same elements united in the same proportions by weight, and with the same molecular weight, but which a different structure or arrangement of the ultimate parts; as, ethyl alcohol and methyl ether are isomeric (metameric) with each other in this sense. See Metameric.
isomeride |An isomer. [R.]
isomerism |The state, quality, or relation, of two or more isomeric substances. Physical isomerism (Chem.), the condition or relation of certain (metameric) substances, which, while chemically identical (in that they have the same composition, the same molecular weights, and the same ultimate constitution), are yet physically different, as in their action on polarized light, as dextro- and lævo-tartaric acids. In such compounds there is usually at least one unsymmetrical carbon atom. See Unsymmetrical.
isomeromorphism |Isomorphism between substances that are isomeric.
