kakistocracy |Government by the worst men.
kakoxene |See Cacoxene.
kalan |The sea otter.
kalasie |A long-tailed monkey of Borneo (Semnopithecus rubicundus). It has a tuft of long hair on the head.
kale |1. (Bot.)  A variety of cabbage in which the leaves do not form a head, being nearly the original or wild form of the species. [Written also kail, and cale.] 2. See Kail, 2. Sea kale (Bot.), a European cruciferous herb (Crambe maritima), often used as a pot herb; sea cabbage.
kaleege |One of several species of large, crested, Asiatic pheasants, belonging to the genus Euplocamus, and allied to the firebacks.
kaleidophon |An instrument invented by Professor Wheatstone, consisting of a reflecting knob at the end of a vibrating rod or thin plate, for making visible, in the motion of a point of light reflected from the knob, the paths or curves corresponding with the musical notes produced by the vibrations.
kaleidophone |An instrument invented by Professor Wheatstone, consisting of a reflecting knob at the end of a vibrating rod or thin plate, for making visible, in the motion of a point of light reflected from the knob, the paths or curves corresponding with the musical notes produced by the vibrations.
kaleidoscope |An instrument invented by Sir David Brewster, which contains loose fragments of colored glass, etc., and reflecting surfaces so arranged that changes of position exhibit its contents in an endless variety of beautiful colors and symmetrical forms. It has been much employed in arts of design. Shifting like the fragments of colored glass in the kaleidoscope. G. W. Cable.
kaleidoscopic |Of, pertaining to, or formed by, a kaleidoscope; variegated.
kaleidoscopical |Of, pertaining to, or formed by, a kaleidoscope; variegated.
kalendar |See Calendar.
kalendarial |See Calendarial.
kalender |See 3d Calender.
kalends |Same as Calends.
kali |The last and worst of the four ages of the world; -- considered to have begun B. C. 3102, and to last 432,000 years.\n\nThe black, destroying goddess; -- called also Doorga, Anna Purna.\n\nThe glasswort (Salsola Kali).
kalif |See Caliph.
kaliform |Formed like kali, or glasswort.
kaligenous |Forming alkalies with oxygen, as some metals.
kalium |Potassium; -- so called by the German chemists.
kalki |The name of Vishnu in his tenth and last avatar. Whitworth.
kalmia |A genus of North American shrubs with poisonous evergreen foliage and corymbs of showy flowers. Called also mountain laurel, ivy bush, lamb kill, calico bush, etc.
kalmuck |1. pl. (Ethnol.)  See Calmucks. 2. A kind of shaggy cloth, resembling bearskin. 3. A coarse, dyed, cotton cloth, made in Prussia.
kalong |A fruit bat, esp. the Indian edible fruit bat (Pteropus edulis).
kaloyer |See Caloyer.
kalpa |One of the Brahmanic eons, a period of 4,320,000,000 years. At the end of each Kalpa the world is annihilated.
kalsomine |Same as Calcimine.
kam |Crooked; awry. [Obs.] \"This is clean kam.\" Shak.
kama |The Hindoo Cupid. He is represented as a beautiful youth, with a bow of sugar cane or flowers.
kamala |The red dusty hairs of the capsules of an East Indian tree (Mallotus Philippinensis) used for dyeing silk. It is violently emetic, and is used in the treatment of tapeworm. [Written also kameela.]
kame |A low ridge. [Scot.] See Eschar.
kami |A title given to the celestial gods of the first mythical dynasty of Japan and extended to the demigods of the second dynasty, and then to the long line of spiritual princes still represented by the mikado.
kamichi |A curious South American bird (Anhima, or Palamedea, cornuta), often domesticated by the natives and kept with poultry, which it defends against birds of prey. It has a long, slender, hornlike ornament on its head, and two sharp spurs on each wing. Although its beak, feet, and legs resemble those of gallinaceous birds, it is related in anatomical characters to the ducks and geese (Anseres). Called also horned screamer. The name is sometimes applied also to the chaja. See Chaja, and Screamer.
