klinometer |See Clinometer.
klipdachs |A small mammal (Hyrax Capensis), found in South Africa. It is of about the size of a rabbit, and closely resembles the daman. Called also rock rabbit.
klipdas |A small mammal (Hyrax Capensis), found in South Africa. It is of about the size of a rabbit, and closely resembles the daman. Called also rock rabbit.
klipfish |Dried cod, exported from Norway. [Written also clipfish.]
klipspringer |A small, graceful South African antelope (Nanotragus oreotragus), which, like the chamois, springs from one crag to another with great agility; -- called also kainsi. [Written also klippspringer.]
kloof |A glen; a ravine closed at its upper end. [South Africa]
klopemania |See Kleptomania.
knab |1. To seize with the teeth; to gnaw. \"Knabbing crusts.\" [Obs.] L'Estrange. 2. To nab. See Nab, v. t. [Colloq.]
knabble |To bite or nibble. [Obs.] Horses will knabble at walls, and rats gnaw iron. Sir T. Browne.
knack |1. To crack; to make a sharp, abrupt noise to chink. [Obs. or Prov. Eng.] Bp. Hall. 2. To speak affectedly. [Prov. Eng.] Halliwell.\n\n1. A petty contrivance; a toy; a plaything; a knickknack. A knack, a toy, a trick, a baby's cap. Shak. 2. A readiness in performance; aptness at doing something; skill; facility; dexterity. The fellow . . . has not the knack with his shears. B. Jonson. The dean was famous in his time, And had a kind of knack at rhyme. Swift. 3. Something performed, or to be done, requiring aptness and dexterity; a trick; a device. \"The knacks of japers.\" Chaucer. For how should equal colors do the knack ! Pope.
knack-kneed |See Knock-kneed.
knacker |1. One who makes knickknacks, toys, etc. Mortimer. 2. One of two or more pieces of bone or wood held loosely between the fingers, and struck together by moving the hand; -- called also clapper. Halliwell.\n\n1. a harness maker. [Obs. or Prov. Eng.] Halliwell. 2. One who slaughters worn-out horses and sells their flesh for dog's meat. [Eng.]
knackish |Trickish; artful. [Obs.] -- Knack\"ish*ness, n. [Obs.] Dr. H. More.
knacky |Having a knack; cunning; crafty; trickish. [Prov. Eng. & Scot.] Halliwell.
knag |1. A knot in wood; a protuberance. Wright. 2. A wooden peg for hanging things on. Wright. 3. The prong of an antler Holland. 4. The rugged top of a hill. [Prov. Eng.] Halliwell.
knagged |Full of knots; knaggy.
knaggy |Knotty; rough; figuratively, rough in temper. Fuller. -- Knag\"gi*ness, n.
knap |A protuberance; a swelling; a knob; a button; hence, rising ground; a summit. See Knob, and Knop. The highest part and knap of the same island. Holland.\n\n1. To bite; to bite off; to break short. [Obs. or Prov. Eng. ] He will knap the spears apieces with his teeth. Dr. H. More. He breaketh the bow, and knappeth the spear in sunder. Ps. xlvi. 9 (Book of Common Prayer.) 2. To strike smartly; to rap; to snap. Bacon.\n\nTo make a sound of snapping. Wiseman.\n\nA sharp blow or slap. Halliwell.
knapbottle |The bladder campion (Silene inflata).
knappish |Snappish; peevish. [Obs.] Grafton.
knapple |To break off with an abrupt, sharp noise; to bite; to nibble. [Obs. or Prov. Eng.]
knappy |Having knaps; full of protuberances or humps; knobby. [Obs.] Huloet.
knapsack |A case of canvas or leather, for carrying on the back a soldier's necessaries, or the clothing, etc., of a traveler. And each one fills his knapsack or his scrip With some rare thing that on the field is found. Drayton.
knapweed |The black centaury (Centaurea nigra); -- so called from the knoblike heads of flowers. Called also bullweed.
knar |See Gnar. [Obs.] Chaucer.
knarl |A knot in wood. See Gnarl.
knarled |Knotted. See Gnarled.
knarred |Knotty; gnarled. The knarred and crooked cedar knees. Longfellow.
knarry |Knotty; gnarled. Chaucer.
