lady-killer |A gallant who captivates the hearts of women. \"A renowned dandy and lady-killer.\" Blackw. Mag.
lady-killing |The art or practice of captivating the hearts of women. Better for the sake of womankind that this dangerous dog should leave off lady-killing. Thackeray.
ladybird |Any one of numerous species of small beetles of the genus Coccinella and allied genera (family Coccinellidæ); -- called also ladybug, ladyclock, lady cow, lady fly, and lady beetle. Coccinella seplempunctata in one of the common European species. See Coccinella. Note: The ladybirds are usually more or less hemispherical in form, with a smooth, polished surface, and often colored red, brown, or black, with small spots of brighter colors. Both the larvæ and the adult beetles of most species feed on aphids, and for this reason they are very beneficial to agriculture and horticulture.
ladybug |Same as Ladybird.
ladyclock |See Ladyrird.
ladyfish |(a) A large, handsome oceanic fish (Albula vulpes), found both in the Atlantic and Pacific oceans; -- called also bonefish, grubber, French mullet, and macabé. (b) A labroid fish (Harpe rufa) of Florida and the West Indies.
ladyhood |The state or quality of being a lady; the personality of a lady.
ladykin |A little lady; -- applied by the writers of Queen Elizabeth's time, in the abbreviated form Lakin, to the Virgin Mary. Note: The diminutive does not refer to size, but is equivalent to \"dear.\" Brewer.
ladylike |1. Like a lady in appearance or manners; well-bred. She was ladylike, too, after the manner of the feminine gentility of those days. Hawthorne. 2. Becoming or suitable to a lady; as, ladylike manners. \"With fingers ladylike.\" Warner. 3. Delicate; tender; feeble; effeminate. Too ladylike a long fatigue to bear. Dryden.
ladylikeness |The quality or state of being ladylike.
ladylove |A sweetheart or mistress. LADY'S BEDSTRAW La\"dy's bed\"straw`, (Bot.)  The common bedstraw (Galium verum); also, a slender-leaved East Indian shrub (Pharnaceum Mollugo), with white flowers in umbels. LADY'S BOWER La\"dy's bow\"er. (Bot.)  A climbing plant with fragrant blossoms (Clematis vitalba). Note: This term is sometimes applied to other plants of the same genus. LADY'S CLOTH La\"dy's cloth`  A kind of broadcloth of light weight, used for women's dresses, cloaks, etc. LADY'S COMB La\"dy's comb\| (Bot.)  An umbelliferous plant (Scandix Pecten-Veneris)| its clusters of long slender fruits remotely resembling a comb. LADY'S CUSHION La\"dy's cush\"ion| (Bot.)  An herb growing in dense tufts; the thrift (Armeria vulgaris). LADY'S FINGER La\"dy's fin\"ger| 1. pl. (Bot.)  The kidney vetch. 2. (Cookery)  A variety of small cake of about the dimensions of a finger. 3. A long| slender variety of the potato. 4. (Zoöl.)  One of the branchiæ of the lobster. LADY'S GARTERS La\"dy's gar\"ters. (Bot.)  Ribbon grass. LADY'S HAIR La\"dy's hair\". (Bot.)  A plant of the genus Briza (B. media); a variety of quaking grass."
